Secchi Depth (cm) = 0112
Forel Ule Scale = 20
pH Colour Scale = 99
SensingSecchi S/N = A016
Latitude (degs N) = 34.35143
Longitude (degs E) = -78.04935
Date = 2026-06-03
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
17:57:56, 1017.70, 25.33, 26.73, 19.352, 632, 914, 1169, 1322, 1405, 1406, 1465, 1585, 9390, 3457, 0, 0, 38, 42, 43, 49, 49, 75, 146, 298, 810, 592, 0, 0
17:57:56, 1017.80, 25.34, 26.74, 19.352, 769, 1144, 1436, 1649, 1630, 1595, 1788, 1836, 9892, 3387, 0, 0, 228, 225, 306, 309, 909, 1014, 1156, 1715, 7230, 4979, 0, 0
17:57:57, 1017.70, 25.33, 26.74, 19.422, 692, 1033, 1307, 1499, 1713, 1677, 1828, 1850, 9535, 2736, 0, 0, 1795, 2728, 3249, 3845, 6319, 6851, 9035, 11820, 35970, 23795, 0, 1
17:57:58, 1017.50, 25.34, 26.74, 19.453, 641, 926, 1183, 1352, 1401, 1440, 1529, 1630, 9598, 3774, 0, 0, 1780, 2527, 3101, 3643, 3658, 4576, 6056, 7722, 26679, 15844, 0, 0
17:57:58, 1017.60, 25.34, 26.74, 19.453, 604, 864, 1084, 1298, 1306, 1354, 1473, 1533, 9750, 4201, 0, 0, 1533, 2240, 2685, 3194, 3178, 4057, 5603, 7260, 22805, 13510, 0, 0
17:57:59, 1017.70, 25.36, 26.78, 19.492, 639, 914, 1148, 1371, 1436, 1512, 1613, 1730, 10352, 4343, 0, 0, 1317, 1904, 2310, 2723, 2591, 3286, 4626, 5989, 19398, 11870, 0, 0
17:58:00, 1017.30, 25.36, 26.74, 19.492, 847, 1284, 1599, 1870, 1834, 1836, 2123, 2182, 12168, 5461, 0, 0, 3515, 5137, 7745, 8245, 11981, 12372, 15098, 18259, 36000, 29585, 1, 1
17:58:00, 1017.90, 25.39, 26.78, 19.492, 1687, 2170, 2913, 3241, 2935, 2759, 4250, 3965, 6350, 3183, 0, 0, 2266, 3853, 5024, 6225, 5379, 5478, 6441, 7641, 24797, 15223, 0, 0
17:58:01, 1017.50, 25.39, 26.80, 19.508, 967, 1481, 1887, 2049, 1120, 1119, 1344, 1470, 4216, 1983, 0, 0, 696, 1176, 1492, 1855, 1128, 1236, 1393, 1568, 4653, 1956, 0, 0
17:58:02, 1022.30, 25.46, 26.78, 19.836, 6560, 11631, 16662, 18687, 35878, 36000, 36000, 36000, 36000, 36000, 1, 1, 71, 101, 184, 302, 473, 552, 699, 791, 1447, 191, 0, 0
17:58:02, 1025.90, 25.59, 26.76, 19.836, 16749, 24219, 29947, 31921, 21732, 22084, 23224, 25049, 33375, 23904, 0, 1, 84, 120, 228, 382, 601, 725, 938, 1057, 1795, 190, 0, 0
17:58:03, 1030.40, 25.69, 26.76, 23.023, 1057, 1576, 2716, 3028, 2191, 2304, 2614, 2720, 8738, 1598, 0, 0, 86, 118, 227, 403, 620, 761, 996, 1127, 1855, 186, 0, 0
17:58:04, 1029.60, 25.77, 26.74, 24.664, 468, 853, 1237, 1525, 1970, 1949, 2298, 2309, 7235, 1236, 0, 0, 86, 115, 225, 392, 653, 800, 1046, 1178, 2004, 203, 0, 0
17:58:04, 1030.50, 25.83, 26.80, 24.664, 553, 990, 1421, 1704, 1575, 1568, 1724, 1776, 5737, 1074, 0, 0, 76, 99, 192, 347, 612, 752, 983, 1097, 2005, 190, 0, 0
17:58:05, 1033.80, 25.88, 26.78, 25.437, 452, 817, 1208, 1425, 1523, 1534, 1666, 1786, 5697, 986, 0, 0, 67, 86, 166, 301, 501, 626, 829, 923, 1693, 158, 0, 0
17:58:06, 1034.00, 25.92, 26.78, 25.750, 341, 628, 972, 1167, 1251, 1262, 1363, 1413, 4483, 682, 0, 0, 46, 54, 103, 196, 375, 479, 646, 727, 1131, 103, 0, 0
17:58:06, 1029.10, 25.96, 26.76, 25.750, 386, 697, 1055, 1245, 1355, 1353, 1454, 1483, 4978, 829, 0, 0, 61, 76, 147, 269, 527, 657, 869, 979, 1620, 157, 0, 0
17:58:07, 1026.80, 25.98, 26.73, 25.891, 606, 1014, 1485, 1675, 2769, 2941, 3363, 3594, 12111, 2528, 0, 0, 118, 171, 326, 557, 993, 1175, 1501, 1668, 3614, 382, 0, 0
17:58:08, 1029.20, 26.00, 26.73, 25.945, 7994, 15451, 17802, 27414, 30187, 33889, 36000, 36000, 36000, 29197, 1, 1, 122, 176, 342, 570, 904, 1072, 1372, 1528, 3401, 355, 0, 0
17:58:08, 1031.60, 26.02, 26.80, 25.945, 3315, 5223, 7955, 11306, 5205, 5814, 5777, 6457, 28652, 4614, 0, 0, 85, 118, 228, 387, 600, 728, 954, 1059, 2220, 230, 0, 0
17:58:09, 1030.40, 26.04, 26.76, 25.961, 1513, 2636, 4449, 5704, 1515, 1524, 1644, 1709, 5910, 1028, 0, 0, 55, 69, 132, 242, 422, 534, 708, 797, 1292, 120, 0, 0
17:58:10, 1030.50, 26.05, 26.74, 25.969, 420, 737, 1081, 1245, 1356, 1343, 1479, 1491, 4565, 768, 0, 0, 55, 68, 128, 243, 448, 568, 754, 856, 1235, 113, 0, 0
17:58:10, 1032.90, 26.06, 26.78, 25.969, 422, 764, 1121, 1317, 1363, 1351, 1479, 1492, 4589, 732, 0, 0, 58, 71, 134, 256, 454, 585, 781, 893, 1210, 110, 0, 0
17:58:11, 1033.40, 26.07, 26.76, 25.969, 395, 724, 1114, 1325, 1362, 1355, 1511, 1529, 4561, 723, 0, 0, 61, 74, 142, 272, 493, 629, 841, 957, 1361, 124, 0, 0
17:58:12, 1032.70, 26.07, 26.73, 25.969, 387, 706, 1083, 1290, 1436, 1440, 1613, 1629, 4781, 759, 0, 0, 67, 82, 158, 300, 543, 688, 914, 1036, 1612, 151, 0, 0
17:58:12, 1032.20, 26.08, 26.74, 25.969, 424, 769, 1153, 1369, 1503, 1499, 1679, 1720, 5550, 891, 0, 0, 64, 81, 155, 286, 486, 616, 817, 923, 1522, 143, 0, 0
17:58:13, 1032.20, 26.09, 26.76, 25.977, 409, 736, 1094, 1281, 1383, 1362, 1494, 1525, 5019, 799, 0, 0, 49, 60, 113, 215, 369, 476, 637, 726, 1093, 99, 0, 0
17:58:14, 1030.80, 26.10, 26.74, 25.977, 384, 679, 1026, 1192, 1349, 1346, 1479, 1491, 4659, 761, 0, 0, 51, 63, 117, 223, 428, 544, 726, 823, 1267, 116, 0, 0
17:58:14, 1032.00, 26.11, 26.71, 25.977, 462, 819, 1205, 1412, 1641, 1625, 1849, 1910, 6189, 1096, 0, 0, 75, 98, 190, 337, 628, 776, 1018, 1144, 2134, 215, 0, 0
