Secchi Depth (cm) = /1.1
Forel Ule Scale = os
pH Colour Scale = 19
SensingSecchi S/N = A016
Latitude (degs N) = 33.94672
Longitude (degs E) = -77.96983
Date = 2026-06-10
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
15:34:30, 1014.10, 25.97, 26.00, 25.687, 783, 1223, 1670, 1972, 2241, 2247, 2662, 2813, 10500, 3546, 0, 0, 5487, 8630, 11217, 13620, 15997, 18922, 21762, 28293, 36000, 36000, 1, 1
15:34:30, 1014.40, 25.97, 25.96, 25.711, 857, 1351, 1837, 2167, 2981, 2978, 3545, 3782, 15139, 5192, 0, 0, 4264, 6893, 9053, 11368, 14077, 15388, 18977, 22957, 36000, 30087, 1, 1
15:34:31, 1014.70, 25.98, 26.02, 25.711, 1578, 2378, 3255, 3758, 4402, 4534, 5222, 5863, 24858, 9581, 0, 0, 5183, 8766, 12328, 15049, 13531, 13906, 16438, 18532, 36000, 27268, 1, 1
15:34:32, 1014.50, 26.00, 26.00, 25.758, 2159, 3466, 4776, 5684, 6953, 7222, 8411, 9647, 35603, 14502, 0, 1, 1410, 2264, 3359, 4395, 4980, 5155, 5487, 5717, 14830, 3930, 0, 0
15:34:32, 1014.60, 26.01, 25.98, 25.781, 2490, 3848, 5305, 6126, 5991, 6453, 7481, 8489, 29862, 10760, 0, 0, 546, 890, 1379, 1992, 2351, 2410, 2287, 1958, 6140, 616, 0, 0
15:34:33, 1014.30, 26.08, 26.02, 25.781, 2067, 3276, 4463, 5191, 6125, 6376, 7516, 8491, 28313, 10671, 0, 0, 289, 456, 924, 1624, 2949, 3051, 2882, 2485, 6707, 587, 0, 0
15:34:34, 1020.20, 26.19, 26.05, 26.047, 2398, 3773, 5179, 6091, 5315, 5679, 6569, 7513, 18526, 6037, 0, 0, 308, 494, 1010, 1768, 3058, 3149, 2998, 2578, 6062, 488, 0, 0
15:34:34, 1028.90, 26.28, 26.02, 26.281, 6087, 10861, 15866, 18353, 18255, 20108, 21786, 26382, 36000, 24110, 1, 1, 377, 619, 1242, 2070, 3292, 3366, 3278, 2901, 7702, 659, 0, 0
15:34:35, 1028.00, 26.34, 26.02, 26.281, 6184, 10459, 16443, 21231, 16777, 20774, 19759, 27744, 36000, 20145, 1, 1, 435, 707, 1467, 2518, 4183, 4257, 4179, 3682, 10451, 869, 0, 0
15:34:36, 1017.00, 26.40, 26.00, 26.367, 3562, 6876, 9011, 11831, 15252, 13339, 16947, 19680, 36000, 34532, 1, 1, 474, 781, 1529, 2528, 3738, 3789, 3726, 3327, 9880, 961, 0, 0
15:34:36, 1025.20, 26.44, 26.00, 26.414, 4877, 8749, 9568, 13527, 10595, 10040, 10297, 13502, 36000, 31328, 1, 1, 379, 619, 1202, 1998, 3059, 3122, 3049, 2687, 7818, 719, 0, 0
15:34:37, 1030.60, 26.48, 26.02, 26.414, 4559, 8211, 11975, 14312, 4793, 5051, 7020, 6320, 10896, 1684, 0, 0, 366, 584, 1159, 1963, 2907, 3003, 2860, 2511, 5859, 513, 0, 0
15:34:38, 1021.80, 26.50, 26.00, 26.430, 1456, 2232, 3680, 4213, 3869, 3338, 5320, 4382, 28524, 8433, 0, 0, 415, 679, 1371, 2299, 3533, 3607, 3535, 3118, 8508, 739, 0, 0
15:34:38, 1027.70, 26.52, 26.02, 26.430, 4333, 6761, 10562, 12238, 8896, 8099, 11651, 11635, 36000, 20554, 1, 1, 357, 577, 1169, 1988, 2737, 2800, 2693, 2314, 6217, 538, 0, 0
15:34:39, 1029.20, 26.54, 26.02, 26.430, 3374, 4162, 6848, 7943, 14371, 15305, 17403, 21926, 36000, 19892, 1, 1, 236, 368, 778, 1398, 2307, 2382, 2232, 1868, 4633, 374, 0, 0
15:34:40, 1026.20, 26.55, 26.05, 26.430, 4146, 7639, 10243, 14315, 16267, 18898, 22067, 25116, 36000, 27167, 1, 1, 382, 615, 1266, 2173, 4018, 4136, 4025, 3537, 8140, 661, 0, 0
15:34:40, 1032.30, 26.57, 26.02, 26.430, 3145, 5365, 7218, 10947, 18489, 20172, 21023, 28795, 36000, 13693, 1, 1, 293, 462, 979, 1737, 2669, 2778, 2620, 2225, 5455, 437, 0, 0
15:34:41, 1022.40, 26.58, 26.00, 26.430, 1434, 2353, 3496, 4337, 4343, 4638, 5378, 5921, 11988, 1587, 0, 0, 288, 452, 949, 1696, 3354, 3469, 3304, 2869, 6442, 506, 0, 0
15:34:42, 1023.00, 26.59, 26.02, 26.430, 3041, 4305, 4890, 9521, 11550, 12186, 16297, 14313, 35559, 13547, 0, 1, 357, 576, 1167, 1989, 3431, 3523, 3409, 2984, 7085, 596, 0, 0
15:34:42, 1027.10, 26.61, 26.03, 26.445, 2875, 3991, 5569, 8013, 13548, 14215, 16699, 21351, 35679, 10798, 0, 1, 331, 531, 1091, 1873, 2938, 3042, 2919, 2540, 6512, 547, 0, 0
15:34:43, 1024.10, 26.62, 26.02, 26.445, 3506, 6087, 8477, 10604, 5697, 11409, 9241, 10016, 16228, 2618, 0, 0, 421, 685, 1413, 2424, 3527, 3649, 3518, 3095, 7274, 596, 0, 0
15:34:44, 1022.90, 26.63, 26.02, 26.430, 5095, 8237, 11979, 14342, 15484, 18417, 19556, 26439, 36000, 21970, 1, 1, 342, 550, 1126, 1932, 3323, 3423, 3296, 2882, 6721, 541, 0, 0
15:34:44, 1027.60, 26.64, 26.03, 26.430, 4540, 8283, 12140, 13695, 11928, 14084, 16375, 17226, 34262, 11297, 0, 1, 358, 571, 1174, 2022, 3019, 3121, 2985, 2590, 6318, 527, 0, 0
15:34:45, 1029.40, 26.65, 26.03, 26.430, 3518, 5943, 8919, 11312, 16816, 20919, 20606, 27429, 36000, 20188, 1, 1, 265, 415, 879, 1575, 2938, 3053, 2897, 2492, 5757, 451, 0, 0
15:34:46, 1017.40, 26.65, 26.00, 26.422, 3904, 5708, 7954, 11189, 12668, 16337, 19789, 22031, 36000, 10773, 1, 1, 420, 685, 1348, 2261, 3440, 3561, 3446, 3047, 7348, 646, 0, 0
15:34:46, 1032.20, 26.66, 26.03, 26.430, 1629, 2144, 3077, 4163, 7877, 11101, 13554, 11566, 30126, 6093, 0, 0, 345, 556, 1134, 1923, 3022, 3138, 3053, 2736, 7316, 675, 0, 0
15:34:47, 1033.30, 26.67, 26.03, 26.430, 2841, 4131, 6480, 7726, 20728, 23329, 24772, 31653, 36000, 13423, 1, 1, 402, 649, 1363, 2368, 3320, 3411, 3301, 2848, 6932, 559, 0, 0
15:34:48, 1017.90, 26.68, 26.02, 26.422, 2028, 3817, 5210, 7763, 6658, 7160, 11180, 7862, 30401, 7649, 0, 0, 411, 671, 1359, 2303, 3934, 4034, 3945, 3495, 8474, 736, 0, 0
15:34:48, 1028.60, 26.69, 26.02, 26.430, 2281, 3871, 4982, 8801, 10127, 9960, 16101, 11630, 36000, 17765, 1, 1, 392, 641, 1299, 2198, 3264, 3353, 3266, 2873, 7528, 637, 0, 0
15:34:49, 1033.30, 26.69, 26.02, 26.430, 3914, 4204, 7613, 7355, 5773, 6384, 6483, 7806, 35989, 13623, 0, 1, 373, 605, 1185, 1948, 3172, 3277, 3168, 2808, 7287, 621, 0, 0
15:34:50, 1018.70, 26.70, 26.05, 26.422, 1197, 1802, 2689, 4153, 3663, 4740, 5341, 5161, 11899, 1537, 0, 0, 397, 643, 1330, 2287, 3622, 3729, 3614, 3175, 7633, 640, 0, 0
15:34:50, 1021.10, 26.70, 26.02, 26.430, 4773, 6762, 9243, 12062, 10239, 14032, 16545, 17072, 33608, 9587, 0, 1, 407, 662, 1329, 2264, 3981, 4096, 3978, 3504, 8224, 709, 0, 0
15:34:51, 1038.50, 26.72, 26.03, 26.430, 1338, 1963, 2791, 4187, 14877, 16679, 18338, 23309, 36000, 15141, 1, 1, 384, 622, 1249, 2092, 3500, 3639, 3551, 3191, 8303, 720, 0, 0
15:34:52, 1028.80, 26.72, 26.02, 26.422, 2819, 5059, 7649, 11038, 2939, 3286, 3750, 3876, 8733, 1111, 0, 0, 445, 717, 1506, 2626, 3491, 3609, 3466, 3006, 7111, 571, 0, 0
15:34:52, 1018.80, 26.73, 26.02, 26.422, 3868, 5825, 8023, 11054, 18489, 18358, 21557, 26960, 36000, 18666, 1, 1, 432, 706, 1405, 2355, 3897, 4010, 3892, 3444, 8322, 723, 0, 0
15:34:53, 1032.40, 26.73, 26.03, 26.422, 3526, 4076, 5868, 8867, 8463, 9814, 11991, 13128, 30317, 5155, 0, 0, 344, 555, 1158, 2015, 2956, 3059, 2940, 2593, 6757, 575, 0, 0
15:34:54, 1032.10, 26.73, 26.02, 26.422, 2155, 2843, 4498, 5057, 12405, 13656, 14727, 19533, 36000, 21971, 1, 1, 338, 545, 1124, 1930, 3462, 3553, 3440, 2991, 7693, 627, 0, 0
15:34:54, 1030.00, 26.74, 26.02, 26.422, 855, 1404, 2024, 3165, 9375, 10068, 14775, 12243, 35339, 9203, 0, 1, 375, 605, 1260, 2188, 3537, 3629, 3509, 3047, 7552, 627, 0, 0
15:34:55, 1032.20, 26.75, 26.02, 26.422, 3802, 7343, 11886, 12183, 15611, 17045, 17407, 23500, 36000, 12394, 1, 1, 313, 497, 1042, 1835, 2889, 2980, 2828, 2423, 6073, 492, 0, 0
15:34:56, 1030.00, 26.75, 26.02, 26.422, 2321, 2977, 5346, 5196, 11187, 9728, 13426, 13899, 36000, 27999, 1, 1, 299, 473, 989, 1742, 3937, 4044, 3896, 3388, 7721, 626, 0, 0
15:34:56, 1032.20, 26.76, 26.05, 26.422, 828, 1290, 1945, 2558, 4923, 5875, 7446, 6645, 19888, 2700, 0, 0, 307, 487, 1016, 1795, 3136, 3244, 3083, 2656, 6459, 523, 0, 0
15:34:57, 1035.00, 26.76, 26.02, 26.422, 2245, 2315, 3949, 5200, 3762, 4695, 4535, 5260, 7576, 1092, 0, 0, 382, 608, 1292, 2309, 3363, 3482, 3308, 2845, 6776, 541, 0, 0
