Secchi Depth (cm) = 0110
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A016
Latitude (degs N) = 34.13961
Longitude (degs E) = -77.94428
Date = 2026-06-10
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
16:21:49, 1014.50, 29.56, 30.19, 28.734, 1240, 1914, 2602, 3006, 3397, 3386, 4064, 4279, 19393, 7217, 0, 0, 9796, 13571, 18146, 22272, 25600, 35202, 36000, 36000, 36000, 36000, 1, 1
16:21:49, 1014.50, 29.56, 30.11, 28.734, 1247, 1923, 2615, 3020, 3412, 3402, 4081, 4301, 19494, 7276, 0, 0, 9743, 13448, 18002, 22045, 25488, 35040, 36000, 36000, 36000, 36000, 1, 1
16:21:50, 1014.60, 29.57, 30.19, 28.766, 1240, 1912, 2600, 3004, 3406, 3394, 4072, 4293, 19474, 7271, 0, 0, 9675, 13301, 17970, 21804, 25327, 34656, 36000, 36000, 36000, 36000, 1, 1
16:21:51, 1014.60, 29.57, 30.11, 28.844, 1267, 1952, 2656, 3059, 3410, 3396, 4076, 4292, 19392, 7208, 0, 0, 9806, 13714, 18139, 22518, 24960, 34535, 36000, 36000, 36000, 36000, 1, 1
16:21:51, 1014.60, 29.57, 30.19, 28.844, 1382, 2141, 2891, 3367, 3721, 3718, 4497, 4665, 20228, 7176, 0, 0, 3232, 4599, 5831, 7219, 9173, 11735, 15933, 20648, 36000, 34385, 1, 1
16:21:52, 1014.40, 29.59, 30.13, 28.922, 1126, 1751, 2370, 2752, 3449, 3438, 4092, 4322, 18592, 6754, 0, 0, 6607, 9387, 13783, 14889, 13744, 14199, 18892, 25120, 36000, 36000, 1, 1
16:21:53, 1014.20, 29.61, 30.15, 28.797, 1381, 2118, 2903, 3385, 3155, 3360, 4401, 5221, 19757, 8541, 0, 0, 2529, 3982, 5411, 7161, 6191, 7104, 7881, 8453, 27178, 9866, 0, 0
16:21:53, 1019.40, 29.62, 30.17, 28.797, 2599, 4053, 5515, 6410, 8406, 8794, 10426, 11422, 35314, 13133, 0, 1, 366, 541, 960, 1597, 2211, 2587, 2857, 2820, 6541, 677, 0, 0
16:21:54, 1023.80, 29.53, 30.13, 28.312, 3824, 6635, 9254, 11328, 18841, 19939, 23364, 25133, 27940, 7601, 0, 0, 259, 367, 723, 1308, 2321, 2731, 3021, 2970, 6914, 692, 0, 0
16:21:55, 1034.80, 29.50, 30.13, 27.500, 9374, 15878, 19655, 21626, 20120, 20586, 23891, 25171, 36000, 16309, 1, 1, 237, 328, 657, 1209, 2047, 2432, 2690, 2622, 6254, 607, 0, 0
16:21:55, 1040.60, 29.50, 30.13, 27.500, 2668, 5036, 8194, 11278, 22409, 24046, 28590, 29109, 33278, 5006, 0, 1, 225, 294, 606, 1173, 2280, 2735, 3039, 2944, 6743, 630, 0, 0
16:21:56, 1039.40, 29.50, 30.11, 27.203, 3525, 6128, 10211, 12815, 28943, 30375, 32453, 34359, 36000, 7600, 1, 1, 243, 322, 660, 1261, 2194, 2620, 2915, 2824, 6569, 614, 0, 0
16:21:57, 1043.20, 29.50, 30.08, 27.055, 3383, 6476, 10528, 14911, 25332, 27796, 33565, 34453, 36000, 5377, 1, 1, 213, 276, 572, 1112, 2078, 2494, 2773, 2679, 6108, 567, 0, 0
