Secchi Depth (cm) = 9999
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A017
Latitude (degs N) = 34.31837
Longitude (degs E) = -77.95377
Date = 2026-06-18
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
18:01:48, 1001.00, 34.12, 36.96, 34.367, 1655, 2500, 3401, 3707, 4354, 4081, 5054, 5551, 27344, 11713, 0, 0, 4974, 7648, 10298, 12823, 15134, 14277, 21333, 22703, 36000, 36000, 1, 1
18:01:48, 1001.00, 34.12, 37.00, 34.391, 1629, 2443, 3332, 3608, 4279, 4021, 4990, 5420, 27081, 11478, 0, 0, 4925, 7713, 10417, 12973, 15552, 14438, 21797, 23062, 36000, 36000, 1, 1
18:01:49, 1000.90, 34.12, 37.02, 34.391, 1575, 2377, 3229, 3486, 4103, 3889, 4772, 5161, 25799, 10884, 0, 0, 4802, 7491, 10149, 12628, 15122, 13904, 21231, 22155, 36000, 36000, 1, 1
18:01:50, 1000.90, 34.12, 37.02, 34.414, 1484, 2239, 3013, 3290, 3754, 3557, 4335, 4696, 23269, 9452, 0, 0, 4403, 6844, 9279, 11509, 14055, 12478, 19873, 20228, 36000, 36000, 1, 1
18:01:50, 1001.00, 34.12, 37.02, 34.445, 1208, 1821, 2407, 2669, 2774, 2677, 3160, 3325, 16713, 6034, 0, 0, 4955, 7032, 9373, 10949, 13214, 13318, 18526, 22109, 36000, 36000, 1, 1
18:01:51, 1000.70, 34.11, 37.04, 34.445, 741, 1111, 1419, 1630, 1515, 1503, 1736, 1772, 9634, 3216, 0, 0, 6355, 8860, 12278, 13711, 27373, 27739, 33331, 34841, 36000, 36000, 1, 1
18:01:52, 1000.90, 34.11, 37.08, 34.500, 427, 701, 1014, 1251, 2330, 2589, 3088, 3487, 10368, 3474, 0, 0, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
18:01:52, 1000.80, 34.11, 37.06, 34.500, 188, 261, 369, 422, 1552, 1547, 2181, 2224, 5262, 2574, 0, 0, 8246, 10509, 15850, 17214, 31703, 32959, 35925, 36000, 36000, 36000, 1, 1
18:01:53, 1000.70, 34.11, 37.02, 34.492, 6981, 12077, 17031, 20634, 35505, 34039, 36000, 36000, 36000, 32721, 1, 1, 7047, 11700, 15822, 20175, 14327, 15385, 18319, 20432, 36000, 21487, 1, 1
18:01:54, 1000.60, 34.11, 37.06, 34.484, 9822, 18618, 23063, 28176, 35544, 36000, 36000, 36000, 36000, 36000, 1, 1, 3732, 5962, 8676, 11125, 11875, 12759, 15778, 17497, 36000, 18763, 1, 1
