Secchi Depth (cm) = 0070
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A017
Latitude (degs N) = 34.25893
Longitude (degs E) = -77.98548
Date = 2026-06-25
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
19:19:30, 1011.50, 27.07, 29.56, 26.133, 2255, 3351, 4664, 5586, 6206, 6653, 7750, 8386, 36000, 12438, 1, 1, 5397, 7928, 10530, 13636, 14921, 17009, 23423, 26474, 36000, 36000, 1, 1
19:19:30, 1011.60, 27.07, 29.54, 26.070, 1588, 2398, 3290, 4033, 4262, 4500, 5367, 5579, 23275, 7473, 0, 0, 5257, 7772, 10412, 13154, 16766, 18473, 24010, 27474, 36000, 36000, 1, 1
19:19:31, 1011.40, 27.07, 29.60, 25.977, 2756, 4389, 5786, 7833, 10032, 10288, 14429, 12650, 35352, 11958, 0, 1, 4664, 7715, 10592, 14000, 9114, 9423, 12461, 12648, 34287, 16891, 0, 1
19:19:32, 1022.20, 27.07, 29.58, 25.977, 2684, 3229, 5007, 5022, 9548, 10938, 11403, 15956, 19048, 6712, 0, 0, 192, 255, 510, 924, 1602, 1959, 2583, 2721, 4448, 438, 0, 0
19:19:32, 1031.60, 27.11, 29.58, 26.187, 912, 1541, 2426, 3263, 5680, 6021, 7519, 8757, 17200, 2705, 0, 0, 134, 156, 321, 636, 1219, 1527, 2039, 2159, 3871, 375, 0, 0
19:19:33, 1032.90, 27.20, 29.56, 27.531, 1321, 2320, 3693, 5015, 7448, 7953, 9876, 11672, 23706, 3554, 0, 0, 135, 158, 324, 640, 1174, 1469, 1960, 2076, 3808, 368, 0, 0
19:19:34, 1031.90, 27.29, 29.58, 27.531, 1139, 1950, 3215, 4413, 4463, 4931, 5993, 6997, 19737, 3567, 0, 0, 172, 213, 435, 831, 1339, 1661, 2206, 2336, 4577, 451, 0, 0
19:19:34, 1033.50, 27.37, 29.60, 28.320, 1102, 1932, 3113, 4220, 5814, 6220, 7693, 9072, 19227, 2955, 0, 0, 140, 166, 341, 670, 1214, 1518, 2025, 2145, 4033, 392, 0, 0
19:19:35, 1036.80, 27.45, 29.58, 28.750, 1147, 2143, 3467, 4963, 5700, 5922, 7467, 9141, 16498, 2405, 0, 0, 126, 145, 297, 591, 1045, 1321, 1776, 1884, 3461, 332, 0, 0
19:19:36, 1038.50, 27.53, 29.56, 28.750, 966, 1657, 2784, 4154, 5513, 5982, 7209, 9130, 13018, 1785, 0, 0, 113, 124, 253, 518, 976, 1250, 1695, 1797, 3073, 291, 0, 0
19:19:36, 1038.70, 27.61, 29.56, 28.984, 922, 1570, 2604, 3970, 4689, 5145, 6341, 7707, 11492, 1511, 0, 0, 108, 117, 239, 493, 974, 1248, 1695, 1799, 3149, 299, 0, 0
19:19:37, 1039.00, 27.68, 29.56, 29.117, 1077, 1988, 3419, 5043, 6024, 6490, 8459, 9977, 15196, 1936, 0, 0, 106, 113, 232, 482, 974, 1251, 1705, 1809, 3087, 291, 0, 0
19:19:38, 1039.20, 27.74, 29.56, 29.117, 1082, 1977, 3367, 4809, 7285, 7629, 9958, 12545, 18960, 2420, 0, 0, 107, 115, 236, 488, 977, 1255, 1709, 1815, 3146, 297, 0, 0
19:19:38, 1039.20, 27.79, 29.54, 29.195, 914, 1464, 2495, 3622, 5781, 6340, 7844, 9732, 18358, 2356, 0, 0, 107, 117, 239, 493, 963, 1234, 1680, 1784, 3163, 299, 0, 0
19:19:39, 1039.40, 27.83, 29.51, 29.250, 833, 1342, 2305, 3364, 3996, 4715, 5596, 6645, 15217, 2051, 0, 0, 107, 117, 238, 492, 969, 1245, 1697, 1799, 3174, 301, 0, 0
19:19:40, 1040.50, 27.87, 29.53, 29.250, 993, 1529, 2646, 3938, 4603, 5597, 6687, 7921, 18131, 2288, 0, 0, 108, 118, 241, 498, 984, 1265, 1720, 1829, 3304, 312, 0, 0
19:19:40, 1042.50, 27.90, 29.53, 29.273, 864, 1382, 2416, 3690, 4801, 5439, 6710, 7978, 20318, 2485, 0, 0, 111, 121, 247, 512, 1008, 1299, 1763, 1882, 3473, 323, 0, 0
