Secchi Depth (cm) = 9999
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A017
Latitude (degs N) = 33.94767
Longitude (degs E) = -77.97118
Date = 2026-07-02
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
15:26:00, 1013.50, 28.10, 28.52, 26.547, 8492, 7529, 9547, 20769, 10382, 18633, 31343, 19506, 36000, 16027, 1, 1, 5491, 8725, 10988, 13984, 14634, 17770, 28443, 34489, 36000, 36000, 1, 1
15:26:00, 1013.50, 28.10, 28.54, 26.547, 6183, 6376, 9848, 22089, 11002, 20513, 23051, 21641, 36000, 19197, 1, 1, 6220, 9727, 12328, 15272, 17397, 21147, 31234, 36000, 36000, 36000, 1, 1
15:26:01, 1013.30, 28.10, 28.52, 26.570, 7835, 7505, 9805, 26096, 11402, 21322, 35956, 20979, 36000, 16762, 1, 1, 7013, 10610, 13810, 16695, 18728, 23837, 32292, 36000, 36000, 36000, 1, 1
15:26:02, 1013.40, 28.09, 28.51, 26.594, 6592, 6586, 8286, 17726, 9402, 17318, 23177, 17816, 36000, 14461, 1, 1, 6712, 10016, 13189, 15674, 17620, 21580, 30904, 36000, 36000, 36000, 1, 1
15:26:02, 1013.30, 28.09, 28.58, 26.594, 5319, 5775, 8306, 15736, 9369, 16859, 20335, 16962, 36000, 16050, 1, 1, 6636, 9880, 13016, 15437, 18157, 22496, 31438, 36000, 36000, 36000, 1, 1
15:26:03, 1013.50, 28.09, 28.54, 26.633, 5862, 6242, 8355, 16729, 9708, 17143, 21026, 17575, 36000, 16289, 1, 1, 6758, 10053, 13238, 15713, 18160, 22739, 31574, 36000, 36000, 36000, 1, 1
15:26:04, 1013.30, 28.08, 28.54, 26.687, 6618, 6601, 8414, 18289, 9657, 18065, 26007, 18518, 36000, 15878, 1, 1, 6936, 10333, 13581, 16166, 18619, 23630, 31698, 36000, 36000, 36000, 1, 1
15:26:04, 1013.30, 28.08, 28.52, 26.687, 6056, 6350, 7751, 15666, 8996, 16329, 19979, 17372, 36000, 12956, 1, 1, 6806, 10019, 13343, 15697, 18436, 23073, 31268, 36000, 36000, 36000, 1, 1
15:26:05, 1013.50, 28.08, 28.54, 26.711, 5728, 6281, 7772, 14940, 8993, 16415, 20100, 17387, 36000, 13093, 1, 1, 6744, 9893, 13202, 15475, 18047, 22488, 30996, 36000, 36000, 36000, 1, 1
15:26:06, 1013.30, 28.07, 28.56, 26.727, 5922, 6304, 7937, 15779, 9057, 16450, 20893, 17489, 36000, 13094, 1, 1, 7021, 10390, 13681, 16300, 18923, 24297, 31993, 36000, 36000, 36000, 1, 1
15:26:06, 1013.40, 28.06, 28.54, 26.727, 5108, 4434, 6795, 10103, 7210, 14140, 10876, 10875, 36000, 11493, 1, 1, 11489, 19403, 24860, 32000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:26:07, 1013.10, 28.06, 28.58, 26.750, 3195, 5980, 5793, 13313, 12129, 9436, 22437, 9616, 25006, 9113, 0, 0, 20521, 35977, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:26:08, 1013.10, 28.06, 28.58, 26.766, 1183, 1809, 2310, 2456, 3201, 2752, 4275, 3020, 9739, 1879, 0, 0, 23341, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:26:08, 1013.10, 28.06, 28.56, 26.766, 11589, 21579, 19878, 31134, 35904, 36000, 36000, 36000, 29603, 10510, 1, 1, 2056, 3482, 5264, 8330, 10684, 11794, 10602, 8310, 18060, 2711, 0, 0
15:26:09, 1019.40, 28.05, 28.58, 26.742, 7515, 9132, 14832, 13046, 29562, 36000, 36000, 36000, 15753, 5524, 1, 1, 810, 1419, 2995, 4912, 7520, 6724, 5970, 4746, 15551, 1143, 0, 0
15:26:10, 1024.70, 28.03, 28.61, 27.555, 4825, 3527, 7310, 5873, 4956, 6552, 5147, 7185, 11258, 4144, 0, 0, 902, 1561, 3326, 5502, 8219, 7330, 6496, 5073, 15672, 1150, 0, 0
15:26:10, 1030.60, 28.04, 28.52, 27.555, 18149, 23504, 26968, 29915, 33241, 29477, 32202, 35157, 36000, 15868, 1, 1, 659, 1150, 2441, 4035, 6777, 6050, 5328, 4172, 12862, 919, 0, 0
15:26:11, 1026.80, 28.09, 28.60, 28.156, 974, 1420, 1962, 2323, 3285, 3373, 3380, 4172, 6826, 1739, 0, 0, 848, 1475, 3161, 5263, 8048, 7192, 6401, 5023, 14964, 1077, 0, 0
15:26:12, 1035.40, 28.14, 28.58, 28.477, 3794, 7875, 10635, 15975, 15795, 16174, 22413, 19881, 31446, 5339, 0, 0, 589, 1019, 2204, 3700, 5591, 4960, 4321, 3363, 11910, 879, 0, 0
15:26:12, 1037.30, 28.19, 28.60, 28.477, 6644, 8652, 12685, 15575, 3004, 4156, 3305, 4010, 8517, 1203, 0, 0, 771, 1345, 2907, 4898, 7126, 6378, 5685, 4422, 14766, 1085, 0, 0
15:26:13, 1041.80, 28.23, 28.58, 28.648, 5810, 12275, 17183, 18362, 32709, 32320, 33839, 34369, 36000, 14034, 1, 1, 627, 1109, 2368, 3965, 5798, 5160, 4566, 3558, 12948, 934, 0, 0
15:26:14, 1039.80, 28.27, 28.60, 28.758, 2063, 1789, 3010, 3668, 1924, 2140, 2132, 2289, 6353, 734, 0, 0, 835, 1456, 3141, 5265, 7656, 6865, 6125, 4778, 15474, 1138, 0, 0
15:26:14, 1039.60, 28.30, 28.58, 28.758, 4292, 9630, 12576, 16711, 28042, 28283, 28519, 27891, 28157, 4175, 0, 0, 570, 993, 2165, 3663, 6088, 5422, 4774, 3708, 12523, 904, 0, 0
