Secchi Depth (cm) = 9999
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A017
Latitude (degs N) = 34.24407
Longitude (degs E) = -77.97044
Date = 2026-07-02
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
17:46:25, 1011.70, 30.29, 32.72, 30.586, 3884, 4196, 6679, 6679, 7590, 8686, 8101, 10323, 36000, 25664, 1, 1, 8009, 10216, 12683, 14888, 17573, 24589, 35993, 36000, 36000, 36000, 1, 1
17:46:25, 1011.60, 30.30, 32.72, 30.602, 2288, 3016, 4499, 4534, 3619, 3530, 3888, 4156, 23255, 7757, 0, 0, 5350, 6678, 7762, 9144, 10295, 13908, 19699, 28045, 36000, 36000, 1, 1
17:46:26, 1011.60, 30.31, 32.72, 30.602, 1118, 1679, 2184, 2494, 2365, 2343, 2633, 2612, 10815, 2428, 0, 0, 5808, 7598, 10540, 12437, 13949, 17079, 20156, 27009, 36000, 36000, 1, 1
17:46:27, 1011.50, 30.31, 32.70, 30.609, 917, 1403, 1818, 2017, 2143, 2077, 2322, 2252, 9607, 2016, 0, 0, 7945, 11749, 16531, 20123, 20175, 23130, 27811, 31816, 36000, 36000, 1, 1
17:46:27, 1011.50, 30.31, 32.74, 30.562, 5631, 8648, 13613, 12706, 20984, 20910, 22955, 24192, 18911, 11311, 0, 0, 17307, 28265, 33944, 35230, 7009, 7438, 8641, 8942, 19802, 6534, 0, 1
17:46:28, 1017.80, 30.31, 32.76, 30.562, 9322, 16777, 19857, 27123, 34203, 33909, 34599, 34499, 34642, 22948, 0, 1, 458, 624, 1293, 2385, 3920, 4513, 5311, 5112, 10565, 1075, 0, 0
17:46:29, 1024.90, 30.32, 32.72, 30.672, 5027, 6065, 7680, 9269, 14892, 16263, 17138, 22276, 11647, 2507, 0, 0, 426, 557, 1189, 2275, 3913, 4555, 5373, 5141, 9604, 911, 0, 0
17:46:29, 1026.30, 30.33, 32.72, 30.781, 6802, 9675, 14740, 20792, 30998, 32645, 33353, 32886, 36000, 15290, 1, 1, 355, 465, 990, 1909, 3407, 3976, 4716, 4494, 8345, 794, 0, 0
17:46:30, 1034.40, 30.34, 32.70, 30.781, 16339, 19306, 28448, 34411, 30502, 33916, 35775, 35532, 36000, 26467, 1, 1, 363, 512, 1058, 1941, 3509, 4046, 4766, 4662, 9915, 910, 0, 0
17:46:31, 1021.10, 30.37, 32.72, 30.867, 5996, 10069, 20017, 22667, 30396, 32681, 34105, 33866, 36000, 15022, 1, 1, 322, 432, 914, 1729, 3044, 3505, 4161, 3980, 8199, 810, 0, 0
17:46:31, 1019.90, 30.38, 32.74, 30.867, 16054, 20150, 27328, 34845, 35390, 36000, 36000, 35882, 36000, 35958, 1, 1, 387, 544, 1115, 2021, 3485, 3979, 4716, 4541, 9578, 979, 0, 0
17:46:32, 1019.70, 30.41, 32.72, 30.930, 11894, 13157, 17234, 22380, 27852, 34299, 35172, 32241, 36000, 27309, 1, 1, 402, 562, 1156, 2097, 3545, 4058, 4805, 4636, 9905, 1002, 0, 0
17:46:33, 1023.20, 30.43, 32.70, 30.961, 16109, 16020, 21194, 27313, 28988, 32523, 32540, 30732, 36000, 26055, 1, 1, 424, 593, 1222, 2209, 3847, 4393, 5181, 5044, 11454, 1141, 0, 0
17:46:33, 1022.40, 30.45, 32.70, 30.961, 5174, 10098, 11823, 17537, 28456, 30335, 32462, 31502, 36000, 30749, 1, 1, 425, 596, 1225, 2212, 3664, 4197, 4959, 4800, 10596, 1054, 0, 0
17:46:34, 1022.30, 30.46, 32.72, 30.984, 9063, 12460, 18237, 27185, 31614, 34293, 34448, 33660, 36000, 28463, 1, 1, 403, 552, 1151, 2128, 3732, 4277, 5065, 4891, 10321, 1031, 0, 0
17:46:35, 1022.50, 30.48, 32.72, 31.000, 9438, 14974, 23438, 29858, 28883, 35506, 35761, 34591, 36000, 28785, 1, 1, 403, 562, 1159, 2104, 3634, 4162, 4918, 4760, 10439, 1055, 0, 0
17:46:35, 1025.50, 30.50, 32.68, 31.000, 7757, 15110, 19886, 26950, 21974, 23137, 29127, 27333, 36000, 28984, 1, 1, 443, 638, 1299, 2309, 3605, 4128, 4870, 4745, 10612, 1031, 0, 0
17:46:36, 1023.50, 30.51, 32.72, 31.000, 8816, 15369, 23809, 32920, 27581, 31897, 33373, 32077, 36000, 25793, 1, 1, 359, 497, 1030, 1886, 3338, 3833, 4539, 4384, 9576, 950, 0, 0
17:46:37, 1024.50, 30.53, 32.72, 31.016, 8669, 14231, 19877, 28124, 30215, 34815, 36000, 35905, 36000, 33454, 1, 1, 396, 550, 1136, 2062, 3485, 4008, 4729, 4585, 10162, 996, 0, 0
17:46:37, 1024.50, 30.54, 32.68, 31.016, 7669, 13107, 20361, 29461, 22626, 28928, 32348, 30101, 36000, 22645, 1, 1, 408, 565, 1170, 2124, 3547, 4091, 4795, 4675, 10583, 1039, 0, 0
17:46:38, 1027.90, 30.55, 32.68, 31.023, 5652, 10407, 15589, 18587, 27154, 29018, 27804, 34067, 36000, 26083, 1, 1, 369, 499, 1052, 1952, 3333, 3869, 4526, 4422, 10247, 971, 0, 0
17:46:39, 1026.40, 30.56, 32.70, 31.023, 6984, 13414, 19311, 22927, 26641, 27977, 28159, 32467, 36000, 25954, 1, 1, 382, 524, 1091, 1993, 3484, 4027, 4716, 4609, 10593, 1019, 0, 0
17:46:39, 1026.20, 30.57, 32.70, 31.023, 5893, 10756, 14472, 23388, 23529, 24160, 26525, 29180, 36000, 19269, 1, 1, 369, 510, 1065, 1948, 3270, 3763, 4421, 4296, 9881, 956, 0, 0
17:46:40, 1024.80, 30.58, 32.68, 31.023, 9516, 15695, 22201, 32020, 29331, 32842, 34766, 34199, 36000, 23009, 1, 1, 344, 469, 983, 1809, 3208, 3696, 4350, 4209, 9444, 926, 0, 0
17:46:41, 1028.60, 30.59, 32.68, 31.031, 9373, 15362, 20717, 26657, 28861, 31785, 33303, 33307, 36000, 24538, 1, 1, 387, 534, 1114, 2038, 3451, 3990, 4672, 4562, 10535, 992, 0, 0
17:46:41, 1028.40, 30.60, 32.70, 31.031, 6508, 11256, 17863, 28561, 26049, 30058, 32544, 31508, 36000, 20022, 1, 1, 368, 489, 1040, 1961, 3398, 3948, 4640, 4497, 9779, 922, 0, 0
17:46:42, 1027.50, 30.61, 32.66, 31.016, 10128, 13680, 19770, 30952, 27901, 33175, 34009, 33050, 36000, 21624, 1, 1, 376, 517, 1080, 1983, 3650, 4182, 4917, 4794, 11056, 1053, 0, 0
17:46:43, 1026.80, 30.61, 32.70, 31.008, 6364, 10347, 15806, 22642, 22923, 24930, 27779, 29647, 36000, 13101, 1, 1, 359, 475, 1013, 1936, 3446, 3987, 4721, 4530, 9089, 872, 0, 0
17:46:43, 1026.90, 30.62, 32.70, 31.008, 22359, 21314, 28329, 34322, 20897, 22747, 23684, 23199, 35750, 10273, 0, 1, 372, 493, 1047, 1997, 3621, 4190, 4961, 4758, 9435, 907, 0, 0
