Secchi Depth (cm) = 9999
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A017
Latitude (degs N) = 34.39680
Longitude (degs E) = -78.26684
Date = 2026-07-09
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
16:22:54, 1010.70, 34.05, 34.30, 38.773, 584, 868, 1090, 1199, 1182, 1140, 1238, 1304, 7387, 3037, 0, 0, 4163, 6041, 8049, 9174, 10748, 11547, 13270, 18076, 36000, 32934, 1, 1
16:22:54, 1010.80, 34.05, 34.32, 38.844, 540, 803, 1006, 1103, 1122, 1076, 1165, 1227, 7049, 2992, 0, 0, 4095, 5890, 7818, 8939, 10450, 11266, 13058, 17751, 36000, 32759, 1, 1
16:22:55, 1010.80, 34.06, 34.33, 38.906, 533, 793, 992, 1089, 1115, 1067, 1157, 1215, 7017, 2956, 0, 0, 4089, 5874, 7781, 8960, 10420, 11270, 13111, 17703, 36000, 33086, 1, 1
16:22:56, 1010.60, 34.06, 34.32, 38.906, 541, 805, 1008, 1106, 1351, 1314, 1425, 1506, 8236, 3195, 0, 0, 4519, 6833, 9454, 11004, 13408, 14141, 17514, 19856, 36000, 36000, 1, 1
16:22:56, 1010.70, 34.06, 34.33, 38.961, 1787, 2421, 3186, 4112, 2850, 2908, 3798, 3572, 12238, 5511, 0, 0, 3845, 4807, 6842, 7865, 9182, 9820, 11574, 13293, 36000, 36000, 1, 1
16:22:57, 1010.70, 34.06, 34.33, 38.938, 1601, 2565, 3309, 4305, 8432, 7477, 12863, 9782, 17097, 6201, 0, 0, 12530, 19875, 27583, 31968, 29878, 32549, 33558, 35996, 36000, 30367, 1, 1
16:22:58, 1010.70, 34.06, 34.35, 38.938, 7548, 12111, 16390, 19561, 31543, 34935, 35938, 36000, 35813, 13139, 1, 1, 4287, 7103, 10203, 13890, 9053, 8827, 10422, 11502, 15740, 3973, 0, 0
16:22:58, 1010.60, 34.07, 34.35, 38.727, 7082, 12817, 18009, 20533, 24587, 24487, 32024, 34136, 33333, 12585, 0, 1, 638, 995, 1520, 2085, 1957, 1993, 2230, 2352, 4932, 697, 0, 0
16:22:59, 1015.50, 34.07, 34.33, 37.711, 1305, 1863, 2611, 2720, 1555, 1484, 1606, 1689, 6506, 2006, 0, 0, 178, 232, 491, 1000, 1733, 1834, 2054, 2137, 4181, 396, 0, 0
16:23:00, 1024.10, 34.06, 34.35, 37.711, 917, 1573, 2227, 2588, 3288, 3257, 3676, 4145, 7388, 1099, 0, 0, 165, 209, 452, 952, 1651, 1760, 1979, 2051, 4035, 372, 0, 0
16:23:00, 1027.00, 34.06, 34.33, 35.563, 6649, 12388, 25530, 21358, 28360, 32319, 33359, 36000, 36000, 8889, 1, 1, 152, 194, 422, 893, 1553, 1657, 1864, 1925, 3666, 337, 0, 0
16:23:01, 1027.40, 34.04, 34.33, 34.180, 7808, 13988, 34196, 28740, 27729, 31376, 33571, 36000, 36000, 11817, 1, 1, 150, 192, 418, 883, 1564, 1668, 1876, 1937, 3611, 329, 0, 0
16:23:02, 1030.50, 34.03, 34.35, 34.180, 6639, 13791, 30322, 23347, 31424, 28557, 34365, 36000, 36000, 12691, 1, 1, 147, 189, 411, 865, 1502, 1603, 1806, 1863, 3474, 314, 0, 0
16:23:02, 1032.10, 34.02, 34.33, 33.477, 5880, 11595, 26635, 23261, 30249, 31843, 35862, 36000, 36000, 13486, 1, 1, 137, 172, 376, 813, 1479, 1584, 1789, 1837, 3428, 306, 0, 0
16:23:03, 1032.60, 34.01, 34.35, 33.039, 6699, 13157, 26339, 25843, 31634, 35616, 36000, 36000, 36000, 14526, 1, 1, 141, 177, 388, 835, 1516, 1621, 1835, 1881, 3548, 316, 0, 0
16:23:04, 1032.90, 34.00, 34.32, 33.039, 6425, 13886, 23840, 25788, 32149, 35477, 36000, 36000, 36000, 13929, 1, 1, 142, 179, 393, 847, 1540, 1644, 1865, 1909, 3672, 326, 0, 0
16:23:04, 1034.10, 33.99, 34.30, 32.734, 5487, 13541, 18501, 22945, 33870, 32873, 34967, 36000, 36000, 16050, 1, 1, 144, 182, 398, 853, 1534, 1636, 1859, 1903, 3754, 330, 0, 0
16:23:05, 1033.70, 33.98, 34.33, 32.555, 5542, 12013, 18837, 27846, 34443, 36000, 36000, 36000, 36000, 16511, 1, 1, 144, 184, 401, 854, 1540, 1639, 1865, 1911, 3850, 338, 0, 0
16:23:06, 1034.20, 33.98, 34.32, 32.555, 5378, 11129, 17690, 32971, 31949, 35919, 36000, 36000, 36000, 17151, 1, 1, 144, 184, 404, 854, 1537, 1634, 1858, 1906, 3913, 339, 0, 0
16:23:06, 1033.50, 33.97, 34.30, 32.438, 5032, 9224, 16155, 32060, 27703, 34457, 36000, 35275, 36000, 15528, 1, 1, 146, 188, 410, 863, 1560, 1655, 1883, 1934, 4091, 357, 0, 0
16:23:07, 1034.30, 33.96, 34.33, 32.352, 5411, 9998, 16661, 35396, 23966, 32955, 36000, 35936, 36000, 15233, 1, 1, 147, 190, 414, 868, 1547, 1645, 1867, 1921, 4093, 351, 0, 0
16:23:08, 1034.00, 33.95, 34.30, 32.352, 4682, 8480, 14844, 29901, 28709, 36000, 36000, 36000, 36000, 15496, 1, 1, 148, 191, 418, 877, 1588, 1687, 1913, 1970, 4278, 367, 0, 0
16:23:08, 1033.90, 33.94, 34.28, 32.289, 4679, 8935, 14428, 28394, 30131, 36000, 36000, 36000, 36000, 16717, 1, 1, 150, 194, 423, 886, 1598, 1698, 1922, 1982, 4354, 373, 0, 0
16:23:09, 1034.30, 33.93, 34.32, 32.258, 5305, 10294, 16101, 28340, 29041, 34855, 35984, 36000, 36000, 16620, 1, 1, 151, 195, 427, 889, 1577, 1678, 1896, 1958, 4347, 371, 0, 0
16:23:10, 1035.20, 33.92, 34.30, 32.258, 4623, 9774, 15402, 22873, 28673, 32127, 32855, 36000, 36000, 15418, 1, 1, 145, 186, 408, 859, 1550, 1654, 1865, 1927, 4265, 362, 0, 0
16:23:10, 1033.70, 33.91, 34.26, 32.234, 5018, 10358, 16135, 24068, 29640, 32532, 34669, 36000, 36000, 15428, 1, 1, 148, 191, 416, 869, 1552, 1652, 1862, 1925, 4321, 370, 0, 0
16:23:11, 1033.90, 33.90, 34.30, 32.227, 5267, 11249, 17345, 23596, 30002, 31029, 31155, 36000, 36000, 16039, 1, 1, 144, 185, 405, 850, 1534, 1634, 1840, 1901, 4279, 364, 0, 0
16:23:12, 1030.10, 33.90, 34.30, 32.227, 5670, 11416, 18558, 24127, 32244, 31945, 35191, 36000, 36000, 15625, 1, 1, 153, 200, 435, 898, 1594, 1691, 1902, 1969, 4460, 388, 0, 0
16:23:12, 1028.30, 33.89, 34.32, 32.188, 5774, 12671, 18712, 25045, 34509, 36000, 36000, 36000, 36000, 20595, 1, 1, 165, 217, 468, 956, 1662, 1760, 1979, 2051, 4687, 410, 0, 0
16:23:13, 1026.40, 33.88, 34.30, 32.180, 6381, 13228, 19537, 26945, 33272, 35922, 36000, 36000, 36000, 22831, 1, 1, 173, 231, 494, 995, 1717, 1813, 2040, 2118, 4878, 432, 0, 0
16:23:14, 1026.40, 33.87, 34.30, 32.180, 6802, 14659, 21384, 27198, 31964, 34537, 32051, 36000, 36000, 28535, 1, 1, 174, 236, 503, 1003, 1699, 1792, 2017, 2093, 4808, 427, 0, 0
16:23:14, 1026.50, 33.86, 34.28, 32.172, 8142, 15974, 22497, 31660, 32108, 33457, 34449, 35091, 36000, 24614, 1, 1, 171, 233, 495, 985, 1674, 1762, 1989, 2061, 4721, 417, 0, 0
16:23:15, 1026.10, 33.85, 34.30, 32.148, 7733, 14959, 21588, 33237, 32138, 36000, 36000, 36000, 36000, 19355, 1, 1, 163, 220, 471, 945, 1641, 1724, 1949, 2017, 4546, 405, 0, 0
16:23:16, 1026.40, 33.85, 34.28, 32.148, 7485, 14210, 21065, 36000, 34616, 36000, 36000, 36000, 36000, 24163, 1, 1, 165, 223, 477, 957, 1648, 1733, 1961, 2025, 4449, 395, 0, 0
16:23:16, 1025.50, 33.84, 34.33, 32.133, 6993, 13356, 19491, 35643, 31098, 36000, 36000, 36000, 36000, 23177, 1, 1, 167, 227, 484, 972, 1668, 1752, 1987, 2047, 4444, 398, 0, 0
16:23:17, 1027.30, 33.83, 34.32, 32.117, 6981, 13456, 20636, 36000, 32741, 36000, 36000, 36000, 36000, 26560, 1, 1, 169, 228, 487, 979, 1692, 1779, 2022, 2081, 4492, 397, 0, 0
16:23:18, 1025.50, 33.82, 34.28, 32.117, 6318, 11511, 19401, 35959, 31984, 36000, 36000, 36000, 36000, 22328, 1, 1, 164, 221, 472, 953, 1684, 1769, 2009, 2068, 4433, 399, 0, 0
16:23:18, 1026.30, 33.82, 34.28, 32.102, 7974, 14428, 24201, 36000, 34668, 36000, 36000, 36000, 36000, 26754, 1, 1, 168, 228, 486, 970, 1674, 1760, 1999, 2060, 4421, 394, 0, 0
16:23:19, 1025.90, 33.81, 34.32, 32.109, 7124, 12507, 21473, 35908, 29146, 36000, 36000, 36000, 36000, 20843, 1, 1, 158, 212, 455, 921, 1644, 1730, 1965, 2024, 4328, 389, 0, 0
16:23:20, 1025.70, 33.80, 34.32, 32.109, 7975, 14201, 23782, 36000, 34017, 36000, 36000, 36000, 36000, 26130, 1, 1, 169, 229, 487, 973, 1674, 1761, 1999, 2060, 4432, 397, 0, 0
16:23:20, 1025.90, 33.80, 34.28, 32.109, 6655, 12744, 19447, 35978, 28903, 35442, 36000, 36000, 36000, 23483, 1, 1, 164, 222, 474, 953, 1656, 1742, 1979, 2038, 4381, 393, 0, 0
16:23:21, 1025.80, 33.79, 34.24, 32.117, 7348, 13069, 21228, 36000, 31490, 36000, 36000, 36000, 36000, 25816, 1, 1, 172, 234, 497, 994, 1698, 1787, 2030, 2095, 4541, 405, 0, 0
16:23:22, 1025.80, 33.78, 34.30, 32.117, 7813, 13566, 23124, 36000, 30725, 36000, 36000, 36000, 36000, 24398, 1, 1, 171, 233, 496, 985, 1717, 1807, 2054, 2125, 4678, 417, 0, 0
16:23:22, 1026.50, 33.77, 34.30, 32.109, 7683, 13629, 22021, 34802, 29913, 35432, 36000, 35549, 36000, 23062, 1, 1, 169, 231, 493, 979, 1688, 1778, 2019, 2088, 4610, 406, 0, 0
