Secchi Depth (cm) = 9999
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A017
Latitude (degs N) = 34.35558
Longitude (degs E) = -78.17739
Date = 2026-07-09
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
16:53:48, 1010.00, 32.27, 34.86, 34.570, 529, 726, 907, 1011, 1172, 1240, 1322, 1445, 8244, 3747, 0, 0, 10193, 16696, 23062, 29865, 35967, 36000, 36000, 36000, 36000, 36000, 1, 1
16:53:48, 1010.10, 32.28, 34.88, 34.570, 575, 792, 994, 1136, 995, 1023, 1131, 1239, 6282, 2960, 0, 0, 4884, 7184, 10410, 12050, 14988, 14720, 19865, 21363, 36000, 36000, 1, 1
16:53:49, 1010.30, 32.29, 34.88, 34.570, 912, 1261, 1630, 2013, 1446, 1393, 1564, 1470, 7099, 2180, 0, 0, 2056, 3064, 3997, 5467, 5658, 5680, 6913, 7529, 24271, 8202, 0, 0
16:53:50, 1010.00, 32.29, 34.88, 34.586, 9619, 17389, 23947, 28069, 35702, 35421, 36000, 36000, 36000, 36000, 1, 1, 4684, 7684, 11095, 13550, 2689, 2741, 3176, 3472, 9837, 2200, 0, 0
16:53:50, 1010.50, 32.29, 34.88, 34.586, 733, 1123, 1377, 1456, 1355, 1270, 1324, 1264, 6385, 1725, 0, 0, 371, 530, 736, 897, 1006, 1018, 1139, 1198, 4847, 1130, 0, 0
16:53:51, 1015.30, 32.29, 34.86, 34.563, 682, 1031, 1280, 1319, 1418, 1327, 1373, 1356, 6625, 1583, 0, 0, 82, 114, 239, 435, 690, 766, 951, 1008, 1499, 144, 0, 0
16:53:52, 1025.70, 32.29, 34.88, 34.563, 9223, 18554, 24579, 28704, 28486, 30115, 29088, 33019, 35992, 29087, 0, 1, 89, 142, 278, 458, 615, 663, 791, 835, 1577, 159, 0, 0
16:53:52, 1019.50, 32.29, 34.82, 33.477, 3306, 7144, 11475, 12912, 9183, 9794, 12527, 15415, 32699, 8157, 0, 1, 124, 188, 393, 703, 1218, 1326, 1641, 1746, 3495, 325, 0, 0
16:53:53, 1021.90, 32.29, 34.88, 32.648, 2139, 4101, 3683, 9867, 30694, 31945, 34662, 36000, 36000, 35346, 1, 1, 75, 109, 223, 393, 519, 565, 695, 722, 1137, 109, 0, 0
16:53:54, 1022.60, 32.29, 34.88, 32.648, 7858, 14586, 22498, 25211, 30872, 30968, 31065, 33607, 36000, 27628, 1, 1, 62, 85, 179, 332, 574, 640, 797, 841, 1125, 108, 0, 0
16:53:54, 1021.70, 32.29, 34.86, 32.234, 4512, 6904, 9984, 12861, 15995, 12817, 16973, 21744, 29962, 4206, 0, 0, 72, 95, 207, 394, 675, 760, 944, 1006, 1298, 113, 0, 0
