Secchi Depth (cm) = 9999
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A017
Latitude (degs N) = 34.33561
Longitude (degs E) = -78.05139
Date = 2026-07-09
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
17:17:30, 1010.30, 34.15, 36.78, 38.875, 712, 988, 1373, 1459, 1682, 1639, 1874, 2140, 13194, 6305, 0, 0, 8894, 10494, 11514, 13030, 12541, 15379, 17816, 28315, 36000, 36000, 1, 1
17:17:30, 1010.10, 34.16, 36.76, 38.898, 678, 944, 1302, 1395, 1667, 1609, 1840, 2099, 12938, 6208, 0, 0, 8554, 10560, 11326, 13248, 12060, 14590, 16150, 24651, 36000, 36000, 1, 1
17:17:31, 1010.20, 34.16, 36.72, 38.898, 3253, 3541, 5926, 5800, 7015, 8175, 7260, 10043, 23133, 19367, 0, 0, 10188, 13180, 18391, 23615, 30254, 32102, 35803, 36000, 36000, 36000, 1, 1
17:17:32, 1010.30, 34.17, 36.76, 38.867, 13079, 19901, 30748, 33442, 16936, 19887, 19860, 26065, 29823, 11974, 0, 1, 5826, 7707, 11634, 13307, 13372, 14455, 15685, 19957, 35387, 15850, 0, 1
17:17:32, 1010.40, 34.17, 36.74, 38.742, 13738, 20349, 30665, 34951, 35761, 35648, 36000, 36000, 36000, 35540, 1, 1, 4186, 7066, 9000, 11268, 8269, 8673, 9475, 11329, 25714, 12417, 0, 0
17:17:33, 1010.40, 34.17, 36.76, 38.742, 9200, 16820, 22404, 27512, 31009, 35483, 36000, 36000, 36000, 36000, 1, 1, 4911, 6987, 9930, 11661, 15210, 15240, 17971, 18413, 35993, 20066, 0, 1
17:17:34, 1010.40, 34.18, 36.72, 38.633, 11299, 20160, 26978, 33677, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 1168, 1729, 2649, 3116, 14070, 14322, 15129, 15371, 21713, 14758, 0, 0
17:17:34, 1012.30, 34.18, 36.74, 38.492, 12514, 19452, 26791, 35096, 4027, 4369, 4901, 5242, 10745, 4031, 0, 1, 127, 169, 325, 558, 860, 1032, 1410, 1658, 3102, 397, 0, 0
17:17:35, 1016.40, 34.17, 36.72, 38.492, 11485, 19713, 27857, 33596, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 127, 166, 325, 560, 868, 1045, 1438, 1698, 3363, 421, 0, 0
17:17:36, 1016.60, 34.15, 36.72, 35.672, 10817, 16689, 22431, 25699, 33618, 33890, 35432, 35603, 36000, 34769, 1, 1, 148, 212, 408, 689, 1132, 1324, 1796, 2069, 4600, 551, 0, 0
17:17:36, 1020.60, 34.13, 36.72, 34.234, 11850, 16994, 21559, 22789, 23919, 23882, 25848, 26473, 34255, 19182, 0, 1, 117, 153, 301, 530, 954, 1138, 1565, 1823, 3946, 455, 0, 0
17:17:37, 1019.90, 34.11, 36.70, 34.234, 8727, 17236, 27349, 30201, 35642, 35894, 35540, 36000, 36000, 35833, 1, 1, 130, 174, 339, 591, 928, 1116, 1547, 1814, 3772, 447, 0, 0
17:17:38, 1018.40, 34.09, 36.68, 33.289, 6421, 12807, 21762, 22607, 33473, 34046, 32434, 36000, 36000, 32772, 1, 1, 129, 172, 334, 589, 1019, 1219, 1674, 1954, 4183, 490, 0, 0
17:17:38, 1014.00, 34.07, 36.68, 32.719, 6240, 13258, 18419, 19604, 35344, 35336, 36000, 36000, 36000, 36000, 1, 1, 153, 214, 410, 692, 1130, 1327, 1797, 2078, 4633, 572, 0, 0
17:17:39, 1013.20, 34.06, 36.68, 32.719, 11600, 23303, 35989, 33263, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 147, 205, 393, 661, 1046, 1222, 1645, 1910, 4358, 553, 0, 0
17:17:40, 1014.70, 34.05, 36.68, 32.313, 12563, 24321, 33074, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 131, 178, 342, 583, 873, 1044, 1434, 1689, 3318, 426, 0, 0
17:17:40, 1016.60, 34.04, 36.68, 32.133, 12592, 23303, 31766, 34101, 35479, 35327, 35907, 35835, 35593, 23796, 0, 1, 110, 137, 266, 470, 782, 946, 1304, 1549, 2840, 363, 0, 0
17:17:41, 1017.90, 34.03, 36.68, 32.133, 7653, 16288, 20405, 23010, 28607, 28171, 29720, 29979, 32604, 17434, 0, 1, 109, 135, 264, 472, 736, 903, 1254, 1499, 2631, 333, 0, 0
17:17:42, 1017.70, 34.02, 36.66, 31.992, 8574, 19070, 28791, 30267, 35774, 35920, 36000, 36000, 36000, 10698, 1, 1, 107, 131, 256, 461, 756, 926, 1293, 1534, 2639, 331, 0, 0
17:17:42, 1018.60, 34.02, 36.64, 31.875, 8546, 16946, 26582, 35341, 35113, 35287, 36000, 36000, 36000, 12638, 1, 1, 100, 124, 240, 435, 725, 888, 1254, 1481, 2357, 288, 0, 0
17:17:43, 1019.20, 34.01, 36.66, 31.875, 791, 1339, 1906, 2173, 6499, 7198, 8094, 8189, 14749, 3886, 0, 0, 91, 112, 217, 395, 692, 848, 1203, 1422, 2260, 274, 0, 0
17:17:44, 1018.10, 34.00, 36.64, 31.805, 12534, 16315, 24446, 35752, 36000, 36000, 36000, 36000, 36000, 31340, 1, 1, 96, 121, 233, 421, 726, 880, 1242, 1464, 2422, 299, 0, 0
17:17:44, 1018.10, 33.99, 36.60, 31.773, 17389, 16466, 23834, 35731, 36000, 36000, 36000, 36000, 36000, 27935, 1, 1, 103, 134, 259, 461, 749, 903, 1260, 1487, 2695, 340, 0, 0
17:17:45, 1020.40, 33.98, 36.62, 31.773, 18845, 15391, 19255, 33591, 34900, 36000, 36000, 35582, 36000, 31631, 1, 1, 103, 134, 259, 457, 784, 941, 1305, 1542, 2965, 368, 0, 0
17:17:46, 1017.40, 33.98, 36.57, 31.742, 13857, 13893, 17765, 27027, 35676, 35989, 36000, 35988, 36000, 30983, 1, 1, 102, 131, 255, 449, 701, 843, 1173, 1390, 2586, 335, 0, 0
17:17:46, 1017.00, 33.97, 36.60, 31.711, 23488, 20016, 23443, 34327, 33711, 36000, 36000, 34534, 36000, 33443, 1, 1, 112, 141, 274, 473, 805, 960, 1319, 1559, 3026, 389, 0, 0
17:17:47, 1017.40, 33.96, 36.62, 31.711, 12228, 16897, 22813, 30851, 36000, 36000, 36000, 36000, 36000, 35866, 1, 1, 115, 152, 296, 511, 902, 1069, 1460, 1713, 3486, 440, 0, 0
17:17:48, 1018.00, 33.95, 36.60, 31.687, 9974, 13412, 18138, 21741, 24049, 25099, 26450, 26425, 35832, 22537, 0, 1, 115, 154, 299, 518, 806, 961, 1323, 1559, 3154, 395, 0, 0
17:17:48, 1019.70, 33.94, 36.60, 31.672, 12997, 19430, 32353, 33113, 29317, 27790, 32656, 35105, 36000, 26616, 1, 1, 107, 139, 271, 475, 824, 982, 1353, 1589, 3241, 400, 0, 0
17:17:49, 1022.80, 33.93, 36.57, 31.672, 11547, 14851, 23861, 30061, 33766, 33704, 34164, 34216, 36000, 20708, 1, 1, 94, 117, 231, 417, 794, 955, 1319, 1550, 3096, 369, 0, 0
17:17:50, 1022.80, 33.93, 36.57, 31.656, 6542, 11723, 27903, 24649, 31946, 34413, 34974, 34017, 36000, 16676, 1, 1, 86, 107, 211, 383, 663, 801, 1115, 1319, 2543, 306, 0, 0
17:17:50, 1022.40, 33.92, 36.57, 31.648, 10116, 14476, 26457, 30704, 34764, 35344, 35991, 36000, 36000, 14270, 1, 1, 81, 101, 199, 365, 614, 746, 1046, 1235, 2190, 264, 0, 0
17:17:51, 1022.50, 33.91, 36.55, 31.648, 13388, 12216, 16247, 28173, 29588, 30460, 31156, 30224, 35929, 15916, 0, 1, 81, 101, 198, 366, 606, 739, 1044, 1232, 2110, 253, 0, 0
17:17:52, 1022.70, 33.90, 36.57, 31.641, 12035, 13746, 17389, 33424, 34316, 36000, 36000, 35056, 36000, 16089, 1, 1, 83, 102, 200, 370, 632, 773, 1091, 1290, 2174, 259, 0, 0
17:17:52, 1022.40, 33.89, 36.60, 31.641, 7222, 11967, 19632, 28920, 35166, 36000, 36000, 35979, 36000, 16283, 1, 1, 83, 103, 202, 374, 627, 767, 1081, 1278, 2124, 252, 0, 0
17:17:53, 1022.70, 33.89, 36.57, 31.641, 6946, 10884, 16804, 22858, 35709, 36000, 36000, 36000, 35865, 11553, 1, 1, 79, 96, 188, 350, 597, 734, 1035, 1226, 1995, 237, 0, 0
17:17:54, 1022.40, 33.88, 36.57, 31.633, 10991, 11217, 16687, 28943, 33897, 34985, 35524, 36000, 36000, 16617, 1, 1, 78, 95, 186, 347, 601, 739, 1045, 1235, 1967, 234, 0, 0
17:17:54, 1018.70, 33.87, 36.55, 31.633, 11670, 14056, 17244, 30549, 35724, 36000, 36000, 36000, 36000, 19925, 1, 1, 87, 109, 214, 388, 663, 799, 1119, 1311, 2180, 290, 0, 0
17:17:55, 1020.40, 33.87, 36.53, 31.633, 20155, 16026, 21378, 35922, 36000, 36000, 36000, 36000, 36000, 26887, 1, 1, 91, 116, 228, 410, 670, 811, 1135, 1334, 2222, 272, 0, 0
17:17:56, 1021.30, 33.86, 36.53, 31.625, 12435, 13944, 20780, 32789, 30505, 33582, 34061, 32518, 36000, 19539, 1, 1, 84, 106, 208, 380, 625, 762, 1079, 1272, 2063, 247, 0, 0
17:17:56, 1022.50, 33.85, 36.55, 31.625, 9070, 13844, 22076, 28306, 32803, 35406, 35831, 34640, 36000, 16826, 1, 1, 86, 108, 212, 387, 655, 799, 1124, 1326, 2282, 270, 0, 0
17:17:57, 1022.80, 33.84, 36.55, 31.609, 9393, 12971, 19383, 32348, 35383, 36000, 36000, 36000, 36000, 18795, 1, 1, 88, 111, 218, 396, 714, 865, 1209, 1423, 2580, 306, 0, 0
17:17:58, 1022.90, 33.83, 36.55, 31.609, 16360, 15854, 19388, 33582, 35934, 36000, 36000, 36000, 36000, 18230, 1, 1, 89, 112, 221, 404, 701, 848, 1185, 1396, 2570, 307, 0, 0
17:17:58, 1022.90, 33.82, 36.60, 31.609, 13645, 12292, 16342, 28075, 36000, 36000, 36000, 36000, 36000, 19599, 1, 1, 86, 107, 211, 385, 656, 797, 1119, 1320, 2361, 282, 0, 0
17:17:59, 1023.50, 33.81, 36.51, 31.617, 13875, 13977, 18699, 30590, 32212, 34268, 34189, 32130, 36000, 18352, 1, 1, 81, 100, 197, 363, 633, 773, 1086, 1285, 2259, 267, 0, 0
17:18:00, 1023.70, 33.81, 36.57, 31.617, 9377, 9273, 12834, 22042, 35575, 36000, 36000, 35960, 36000, 16193, 1, 1, 79, 97, 191, 354, 626, 765, 1080, 1278, 2191, 258, 0, 0
17:18:00, 1023.80, 33.80, 36.53, 31.617, 12624, 10753, 15280, 29567, 35919, 36000, 36000, 36000, 36000, 17428, 1, 1, 81, 100, 197, 366, 627, 766, 1080, 1277, 2177, 256, 0, 0
17:18:01, 1022.80, 33.79, 36.51, 31.617, 13925, 12266, 16787, 31104, 36000, 36000, 36000, 36000, 36000, 17518, 1, 1, 83, 103, 202, 373, 640, 780, 1098, 1298, 2293, 273, 0, 0
17:18:02, 1015.20, 33.79, 36.53, 31.617, 18670, 16584, 20666, 35634, 36000, 36000, 36000, 36000, 36000, 35396, 1, 1, 109, 146, 284, 493, 840, 984, 1341, 1544, 3062, 394, 0, 0
17:18:02, 1021.70, 33.78, 36.53, 31.617, 17969, 21646, 27366, 32627, 27031, 29219, 29527, 28536, 33819, 22383, 0, 1, 98, 128, 250, 443, 722, 868, 1208, 1415, 2665, 322, 0, 0
17:18:03, 1020.70, 33.77, 36.51, 31.617, 9159, 10581, 15408, 21922, 33280, 35978, 35785, 34378, 36000, 31451, 1, 1, 104, 137, 268, 472, 774, 928, 1290, 1509, 2895, 355, 0, 0
