Secchi Depth (cm) = 9999
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A017
Latitude (degs N) = 34.35190
Longitude (degs E) = -78.04943
Date = 2026-07-09
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
17:30:00, 1009.70, 32.36, 35.51, 30.391, 809, 1224, 1582, 1751, 1810, 1762, 1954, 1995, 9443, 2787, 0, 0, 5228, 6484, 9391, 11338, 12806, 15612, 17239, 21665, 36000, 36000, 1, 1
17:30:00, 1009.60, 32.35, 35.51, 30.422, 695, 1051, 1337, 1455, 1513, 1441, 1580, 1587, 7749, 2164, 0, 0, 5039, 6293, 9083, 10931, 12558, 15208, 16875, 21209, 36000, 36000, 1, 1
17:30:01, 1009.50, 32.35, 35.49, 30.461, 693, 1049, 1334, 1450, 1502, 1426, 1562, 1567, 7660, 2123, 0, 0, 4764, 5983, 8597, 10364, 12170, 14725, 16438, 20661, 36000, 36000, 1, 1
17:30:02, 1009.70, 32.34, 35.49, 30.461, 691, 1046, 1329, 1442, 1496, 1419, 1553, 1559, 7615, 2110, 0, 0, 4910, 6154, 8854, 10664, 12711, 15471, 17118, 21548, 36000, 36000, 1, 1
17:30:02, 1009.50, 32.33, 35.47, 30.484, 695, 1050, 1337, 1449, 1526, 1449, 1588, 1596, 7769, 2156, 0, 0, 4989, 6202, 8963, 10754, 12341, 14953, 16615, 20942, 36000, 36000, 1, 1
17:30:03, 1009.60, 32.33, 35.44, 30.516, 693, 1049, 1334, 1443, 1503, 1422, 1558, 1563, 7651, 2112, 0, 0, 5032, 6227, 9012, 10828, 12305, 14953, 16593, 20927, 36000, 36000, 1, 1
17:30:04, 1009.80, 32.32, 35.46, 30.516, 694, 1051, 1337, 1444, 1498, 1415, 1549, 1557, 7623, 2108, 0, 0, 4954, 6162, 8898, 10693, 12263, 14866, 16518, 20838, 36000, 36000, 1, 1
17:30:04, 1009.50, 32.31, 35.42, 30.555, 693, 1048, 1333, 1440, 1510, 1428, 1564, 1572, 7697, 2129, 0, 0, 5151, 6357, 9218, 11091, 13073, 16061, 17592, 22188, 36000, 36000, 1, 1
17:30:05, 1009.60, 32.30, 35.44, 30.586, 936, 1384, 1828, 2009, 1983, 1954, 2160, 2227, 10916, 3189, 0, 0, 5723, 9190, 12392, 15611, 22527, 24551, 30205, 34903, 36000, 36000, 1, 1
17:30:06, 1009.40, 32.30, 35.42, 30.586, 1083, 1564, 2101, 2254, 2866, 2844, 3097, 3400, 18185, 6470, 0, 0, 10898, 17311, 23984, 30581, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
17:30:06, 1009.20, 32.29, 35.42, 30.656, 997, 1508, 1919, 2052, 18300, 20390, 24331, 25565, 32823, 29913, 0, 1, 12326, 19852, 28839, 34791, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
17:30:07, 1009.30, 32.28, 35.42, 30.695, 8932, 15685, 21753, 24645, 35208, 34979, 36000, 36000, 36000, 36000, 1, 1, 8554, 13154, 18948, 22675, 35601, 36000, 36000, 36000, 36000, 36000, 1, 1
17:30:08, 1009.00, 32.28, 35.42, 30.695, 2235, 3606, 4667, 5755, 36000, 36000, 36000, 36000, 36000, 35261, 1, 1, 10072, 15312, 21364, 26729, 26690, 30259, 32152, 35017, 36000, 16252, 1, 1
17:30:08, 1009.30, 32.27, 35.42, 30.719, 11131, 19543, 25698, 35996, 35290, 36000, 36000, 36000, 36000, 36000, 1, 1, 2091, 3033, 4662, 5346, 1639, 1674, 2238, 2387, 6105, 1679, 0, 0
17:30:09, 1014.90, 32.27, 35.42, 30.820, 11244, 19654, 27598, 32925, 36000, 36000, 36000, 36000, 36000, 32689, 1, 1, 85, 108, 204, 355, 555, 683, 938, 1126, 2400, 306, 0, 0
17:30:10, 1022.20, 32.26, 35.46, 30.820, 13143, 13959, 18607, 23863, 27391, 29567, 30425, 28928, 35879, 24241, 0, 1, 78, 97, 184, 330, 506, 636, 899, 1086, 2615, 331, 0, 0
17:30:10, 1027.90, 32.25, 35.42, 30.906, 5581, 10740, 22577, 19581, 27914, 33141, 34768, 35840, 36000, 20005, 1, 1, 69, 81, 153, 288, 502, 643, 929, 1128, 2536, 301, 0, 0
17:30:11, 1028.50, 32.24, 35.40, 30.977, 4074, 10640, 16430, 17622, 33631, 33480, 35625, 36000, 36000, 18730, 1, 1, 83, 96, 186, 353, 618, 790, 1142, 1383, 2870, 333, 0, 0
17:30:12, 1028.00, 32.23, 35.42, 30.977, 4569, 7213, 15509, 28181, 33230, 35998, 36000, 36000, 36000, 19189, 1, 1, 91, 103, 198, 375, 689, 879, 1266, 1531, 3023, 347, 0, 0
17:30:12, 1028.30, 32.23, 35.40, 31.016, 5753, 8306, 14907, 31756, 31366, 36000, 36000, 35979, 36000, 18224, 1, 1, 84, 94, 179, 342, 617, 796, 1153, 1410, 2806, 327, 0, 0
17:30:13, 1029.20, 32.23, 35.38, 31.055, 6187, 9468, 14535, 27228, 29492, 36000, 36000, 36000, 36000, 16569, 1, 1, 76, 84, 159, 307, 537, 698, 1011, 1247, 2417, 282, 0, 0
17:30:14, 1029.20, 32.22, 35.38, 31.055, 6142, 8136, 14703, 21278, 35519, 36000, 36000, 36000, 36000, 15320, 1, 1, 69, 75, 141, 273, 485, 632, 915, 1132, 2202, 258, 0, 0
