Secchi Depth (cm) = 0153
Forel Ule Scale = 15
pH Colour Scale = 99
SensingSecchi S/N = A016
Latitude (degs N) = 34.39670
Longitude (degs E) = -78.26598
Date = 2026-05-27
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
15:46:01, 1013.40, 31.26, 29.53, 32.680, 1323, 1944, 2948, 3408, 4799, 3612, 6119, 5147, 36000, 29195, 1, 1, 7216, 11525, 14676, 18473, 21126, 24815, 34121, 36000, 36000, 36000, 1, 1
15:46:01, 1013.40, 31.27, 29.53, 32.680, 1358, 2002, 3052, 3527, 4912, 3674, 6277, 5243, 36000, 30153, 1, 1, 7319, 11656, 14880, 18687, 21507, 25349, 34705, 36000, 36000, 36000, 1, 1
15:46:02, 1013.20, 31.28, 29.53, 32.688, 1582, 2436, 3675, 4352, 6637, 4772, 9315, 6836, 36000, 36000, 1, 1, 7015, 11147, 14344, 17873, 21370, 25079, 34079, 36000, 36000, 36000, 1, 1
15:46:03, 1013.40, 31.29, 29.53, 32.688, 1217, 1845, 2712, 3251, 4388, 3444, 6022, 4870, 36000, 26453, 1, 1, 7618, 12271, 15558, 19616, 22052, 25981, 35228, 36000, 36000, 36000, 1, 1
15:46:03, 1013.60, 31.27, 29.51, 32.688, 2042, 3146, 4991, 5786, 11856, 8064, 16763, 12027, 36000, 36000, 1, 1, 5902, 8954, 11915, 14467, 18137, 20752, 27743, 35104, 36000, 36000, 1, 1
15:46:04, 1013.40, 31.30, 29.53, 32.680, 11709, 19975, 27901, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 5614, 8391, 11472, 13974, 17590, 19872, 25995, 32733, 36000, 36000, 1, 1
15:46:05, 1012.90, 31.32, 29.54, 32.688, 3492, 5272, 8710, 9420, 7775, 5382, 10863, 7747, 36000, 36000, 1, 1, 8861, 14570, 18783, 23135, 34260, 35994, 36000, 36000, 36000, 36000, 1, 1
15:46:05, 1013.30, 31.35, 29.53, 32.688, 1114, 1691, 2447, 3021, 5116, 3955, 7471, 5532, 36000, 29949, 1, 1, 8648, 13501, 18563, 21702, 11891, 13137, 16873, 20227, 36000, 31698, 1, 1
15:46:06, 1012.90, 31.35, 29.51, 32.680, 1643, 2874, 3825, 5623, 3761, 3308, 5423, 4584, 32703, 19095, 0, 1, 6218, 9851, 12981, 16548, 13569, 16370, 21932, 28261, 36000, 35860, 1, 1
15:46:07, 1013.20, 31.36, 29.56, 32.672, 676, 1057, 1413, 1801, 2116, 2081, 2779, 2828, 9046, 5953, 0, 0, 7463, 11296, 15388, 18216, 16438, 19405, 24886, 30870, 36000, 36000, 1, 1
15:46:07, 1012.70, 31.33, 29.56, 32.672, 583, 851, 1108, 1405, 1834, 1804, 2374, 2241, 15408, 7980, 0, 0, 4796, 7101, 9111, 11175, 12310, 14574, 18996, 23791, 36000, 36000, 1, 1
