Secchi Depth (cm) = 0038
Forel Ule Scale = 20
pH Colour Scale = 99
SensingSecchi S/N = A016
Latitude (degs N) = 34.25957
Longitude (degs E) = -77.98692
Date = 2026-05-27
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
17:28:00, 1012.10, 28.17, 29.43, 28.891, 973, 1442, 1985, 2257, 2611, 2632, 3041, 3340, 16974, 6951, 0, 0, 7690, 11471, 15662, 18130, 20887, 22107, 26476, 30599, 36000, 36000, 1, 1
17:28:00, 1012.40, 28.17, 29.47, 28.906, 955, 1418, 1949, 2219, 2572, 2595, 2996, 3294, 16709, 6815, 0, 0, 7601, 11334, 15475, 17903, 20621, 21815, 26086, 30134, 36000, 36000, 1, 1
17:28:01, 1012.00, 28.18, 29.45, 28.930, 977, 1448, 1993, 2265, 2711, 2730, 3151, 3457, 17655, 7269, 0, 0, 6175, 9332, 12648, 14878, 13224, 15395, 20895, 25817, 36000, 32766, 1, 1
17:28:02, 1012.00, 28.17, 29.51, 28.930, 2462, 3934, 5361, 6459, 7262, 7649, 9562, 10269, 34374, 14312, 0, 1, 1214, 1953, 2464, 2896, 4397, 4769, 7616, 10477, 28397, 14747, 0, 0
17:28:02, 1011.30, 28.21, 29.49, 28.906, 2027, 3150, 4431, 5211, 4712, 5095, 6107, 7068, 17255, 6562, 0, 0, 2438, 3880, 5318, 6610, 7923, 8519, 9819, 11626, 34673, 14901, 0, 1
17:28:03, 1012.00, 28.19, 29.45, 28.852, 2545, 3951, 5474, 6558, 7918, 8168, 9947, 11120, 23530, 9025, 0, 0, 3024, 4493, 6647, 7688, 9795, 10491, 12489, 13872, 36000, 17780, 1, 1
17:28:04, 1011.00, 28.21, 29.49, 28.852, 4141, 7187, 9646, 12207, 15444, 16268, 19780, 21122, 32228, 13705, 0, 0, 1825, 2826, 4086, 4944, 6041, 6211, 7622, 8329, 29506, 9400, 0, 0
17:28:04, 1015.40, 28.21, 29.49, 28.781, 5451, 8804, 12908, 14359, 16428, 17200, 21946, 22146, 36000, 32239, 1, 1, 776, 1148, 1731, 2141, 1467, 1776, 2377, 2823, 5145, 673, 0, 0
17:28:05, 1020.00, 28.20, 29.49, 27.898, 4725, 8066, 11665, 13108, 19023, 18838, 21875, 25514, 35885, 24396, 0, 1, 216, 295, 520, 882, 1554, 1914, 2583, 3091, 5819, 756, 0, 0
17:28:06, 1024.50, 28.21, 29.49, 27.898, 3243, 5520, 8342, 10663, 13814, 14779, 19433, 20947, 32884, 7899, 0, 1, 210, 271, 482, 843, 1535, 1924, 2623, 3174, 6035, 763, 0, 0
17:28:06, 1023.80, 28.23, 29.51, 27.328, 3563, 5808, 8916, 11229, 15059, 15866, 19209, 23089, 36000, 11063, 1, 1, 233, 305, 547, 943, 1691, 2091, 2833, 3398, 6828, 875, 0, 0
17:28:07, 1022.10, 28.24, 29.51, 27.328, 2624, 4325, 7031, 8333, 11799, 11773, 14734, 16734, 36000, 13708, 1, 1, 232, 311, 557, 947, 1562, 1917, 2586, 3088, 6346, 814, 0, 0
17:28:08, 1018.90, 28.26, 29.51, 27.086, 3223, 5392, 8476, 10931, 13272, 14006, 17329, 19482, 36000, 12035, 1, 1, 189, 256, 459, 780, 1316, 1607, 2159, 2569, 5272, 677, 0, 0
17:28:08, 1016.80, 28.28, 29.49, 26.969, 3673, 5790, 9438, 11139, 13042, 13537, 16542, 16938, 36000, 19148, 1, 1, 184, 258, 457, 756, 1258, 1515, 2016, 2385, 5000, 660, 0, 0
17:28:09, 1019.60, 28.29, 29.49, 26.969, 3561, 5415, 7720, 9479, 9721, 10972, 13338, 14160, 35489, 14303, 0, 1, 163, 226, 401, 671, 1035, 1264, 1698, 2024, 4063, 524, 0, 0
17:28:10, 1023.20, 28.31, 29.49, 26.937, 1698, 2856, 4344, 5568, 5906, 6401, 7939, 8967, 19822, 4615, 0, 0, 124, 159, 284, 502, 869, 1092, 1492, 1803, 3218, 395, 0, 0
17:28:10, 1022.60, 28.32, 29.49, 26.930, 1459, 2467, 3788, 4910, 6146, 6731, 8346, 9334, 17075, 4022, 0, 0, 136, 176, 314, 551, 955, 1191, 1623, 1955, 3605, 452, 0, 0
17:28:11, 1019.50, 28.33, 29.51, 26.930, 1887, 3275, 4889, 6460, 7148, 7675, 9674, 10502, 17730, 4283, 0, 0, 142, 187, 333, 580, 997, 1238, 1680, 2015, 3572, 448, 0, 0
17:28:12, 1020.20, 28.35, 29.51, 26.914, 2054, 3444, 5032, 6366, 7724, 8414, 10075, 11467, 22053, 5642, 0, 0, 142, 189, 336, 580, 953, 1179, 1600, 1913, 3413, 430, 0, 0
17:28:12, 1020.10, 28.36, 29.49, 26.906, 1717, 2860, 4344, 5534, 6992, 7580, 8922, 10384, 22586, 5380, 0, 0, 124, 163, 292, 508, 849, 1049, 1424, 1698, 2963, 367, 0, 0
17:28:13, 1021.90, 28.37, 29.47, 26.906, 1701, 3016, 4367, 5221, 6989, 7228, 8573, 10540, 25327, 6860, 0, 0, 116, 156, 279, 479, 797, 983, 1336, 1590, 2832, 351, 0, 0
17:28:14, 1017.70, 28.38, 29.51, 26.906, 1474, 2551, 3915, 4789, 5928, 5946, 7113, 8727, 19991, 4724, 0, 0, 125, 166, 296, 513, 918, 1131, 1530, 1827, 3200, 400, 0, 0
17:28:14, 1020.70, 28.39, 29.51, 26.906, 2343, 3922, 5612, 7044, 7271, 7942, 9511, 10624, 22242, 6559, 0, 0, 149, 203, 360, 613, 1001, 1233, 1666, 1993, 3725, 476, 0, 0
17:28:15, 1022.20, 28.39, 29.51, 26.906, 1542, 2613, 4009, 5229, 5820, 6418, 7921, 8917, 15916, 3586, 0, 0, 132, 169, 301, 533, 942, 1180, 1613, 1946, 3395, 417, 0, 0
17:28:16, 1016.00, 28.40, 29.49, 26.906, 1606, 2743, 4014, 5159, 6069, 6694, 7988, 9264, 16137, 4482, 0, 0, 163, 223, 395, 667, 1105, 1351, 1808, 2155, 4014, 521, 0, 0
17:28:16, 1018.90, 28.41, 29.47, 26.906, 2477, 3992, 5620, 6849, 7317, 7833, 9458, 10418, 21536, 6369, 0, 0, 147, 199, 354, 603, 958, 1178, 1588, 1897, 3504, 445, 0, 0
17:28:17, 1019.30, 28.41, 29.45, 26.906, 1743, 2920, 4295, 5441, 6436, 6989, 8542, 9503, 18665, 4785, 0, 0, 130, 173, 310, 536, 897, 1111, 1504, 1801, 3090, 380, 0, 0
17:28:18, 1019.00, 28.41, 29.49, 26.898, 1726, 2865, 4262, 5388, 6271, 6747, 8329, 9323, 19022, 4736, 0, 0, 132, 173, 309, 539, 929, 1152, 1563, 1873, 3185, 393, 0, 0
17:28:18, 1018.10, 28.42, 29.47, 26.914, 1790, 2985, 4294, 5453, 5272, 5580, 6906, 7663, 18183, 5031, 0, 0, 144, 195, 346, 591, 977, 1203, 1626, 1942, 3425, 434, 0, 0
