Secchi Depth (cm) = 0020
Forel Ule Scale = 21
pH Colour Scale = 99
SensingSecchi S/N = A016
Latitude (degs N) = 34.31506
Longitude (degs E) = -77.95396
Date = 2026-05-27
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
18:09:19, 1012.20, 30.52, 30.61, 29.516, 9489, 18255, 24825, 27094, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 15535, 25038, 34592, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
18:09:19, 1010.10, 30.51, 30.56, 29.516, 12750, 22706, 30097, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 13717, 21583, 29836, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
18:09:20, 1009.80, 30.54, 30.59, 29.539, 12579, 20342, 29617, 32089, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 14875, 25966, 34622, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
18:09:21, 1010.60, 30.53, 30.59, 29.570, 6333, 11621, 14971, 19103, 16122, 16356, 17209, 17565, 24059, 10516, 0, 0, 17511, 28955, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
18:09:21, 1011.50, 30.56, 30.61, 29.570, 13433, 25625, 33761, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 8595, 15210, 19965, 26587, 28891, 31495, 36000, 36000, 36000, 35454, 1, 1
18:09:22, 1009.70, 30.57, 30.56, 29.570, 12765, 20575, 28848, 34914, 35433, 36000, 36000, 36000, 36000, 36000, 1, 1, 11505, 17218, 25718, 30050, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
18:09:23, 1010.70, 30.58, 30.59, 29.602, 11160, 20705, 27891, 34747, 31969, 32037, 32817, 32947, 33956, 17776, 0, 1, 10133, 16313, 23045, 28502, 32369, 35790, 36000, 36000, 36000, 36000, 1, 1
18:09:23, 1010.80, 30.58, 30.63, 29.602, 14265, 25339, 35990, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 9248, 15642, 20818, 27236, 35356, 36000, 36000, 36000, 36000, 36000, 1, 1
18:09:24, 1011.20, 30.58, 30.61, 29.594, 13030, 20097, 30578, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 9362, 15705, 21712, 27570, 31510, 34537, 36000, 36000, 36000, 36000, 1, 1
18:09:25, 1011.20, 30.59, 30.59, 29.602, 12819, 23334, 30347, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 9324, 15533, 21426, 27849, 34989, 36000, 36000, 36000, 36000, 36000, 1, 1
