Secchi Depth (cm) = 0101
Forel Ule Scale = 20
pH Colour Scale = 99
SensingSecchi S/N = A016
Latitude (degs N) = 34.30259
Longitude (degs E) = -78.01397
Date = 2026-06-03
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
18:18:00, 1016.90, 25.45, 26.82, 27.367, 1353, 1898, 2607, 2853, 3188, 3248, 3613, 3997, 20946, 9773, 0, 0, 6828, 10243, 13074, 16440, 18767, 24284, 33247, 36000, 36000, 36000, 1, 1
18:18:00, 1017.40, 25.48, 26.78, 27.367, 1372, 1918, 2647, 2884, 3409, 3468, 3825, 4264, 23638, 11476, 0, 0, 5282, 7900, 10181, 13056, 13460, 15468, 18811, 24640, 36000, 35750, 1, 1
18:18:01, 1017.40, 25.47, 26.82, 27.398, 1013, 1503, 1998, 2243, 2646, 2724, 3060, 3239, 12942, 5516, 0, 0, 3813, 5667, 8236, 9016, 11424, 11776, 13942, 16028, 36000, 28939, 1, 1
18:18:02, 1017.20, 25.48, 26.80, 27.437, 7784, 13246, 17078, 22290, 22745, 23957, 28695, 28275, 36000, 36000, 1, 1, 1743, 2907, 4024, 4908, 9264, 10259, 11787, 13440, 31339, 20199, 0, 0
18:18:02, 1018.30, 25.50, 26.82, 27.437, 7225, 13886, 17537, 24334, 20900, 21997, 27004, 25173, 36000, 36000, 1, 1, 1050, 1971, 2567, 3396, 2427, 2820, 3533, 3951, 8259, 944, 0, 0
18:18:03, 1028.80, 25.59, 26.83, 27.352, 18041, 19943, 33013, 34684, 34260, 36000, 33533, 36000, 36000, 36000, 1, 1, 252, 373, 710, 1186, 1767, 2064, 2602, 2887, 5961, 641, 0, 0
18:18:04, 1036.90, 25.70, 26.82, 26.578, 4375, 8253, 13380, 17264, 30951, 31854, 33432, 34273, 36000, 23634, 1, 1, 185, 241, 471, 887, 1378, 1698, 2195, 2489, 4110, 400, 0, 0
18:18:04, 1029.30, 25.79, 26.80, 26.578, 11126, 15354, 22844, 26532, 25178, 25640, 27707, 28447, 36000, 20643, 1, 1, 198, 277, 528, 949, 1568, 1896, 2422, 2715, 4720, 477, 0, 0
18:18:05, 1036.80, 25.85, 26.80, 26.312, 7182, 15020, 18921, 20694, 7433, 13168, 14719, 14639, 28553, 3849, 0, 0, 180, 232, 454, 853, 1500, 1861, 2400, 2720, 4559, 451, 0, 0
18:18:06, 1027.30, 25.90, 26.80, 26.187, 6236, 9264, 16247, 20851, 27381, 31388, 33367, 33849, 36000, 19248, 1, 1, 224, 316, 604, 1068, 1920, 2299, 2910, 3269, 6585, 707, 0, 0
18:18:06, 1034.50, 25.94, 26.82, 26.187, 10210, 13180, 20415, 24795, 30275, 30532, 31543, 31738, 34874, 27945, 0, 1, 192, 257, 498, 925, 1586, 1962, 2509, 2863, 4979, 506, 0, 0
