Secchi Depth (cm) = 
Forel Ule Scale = 
pH Colour Scale = 
SensingSecchi S/N = A016
Latitude (degs N) = 33.91201
Longitude (degs E) = -78.01583
Date = 2026-06-10
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
15:16:24, 1015.00, 25.19, 24.15, 27.516, 2337, 3326, 4671, 5364, 5721, 6053, 6823, 7615, 32596, 12541, 0, 1, 4553, 7018, 9104, 11397, 12875, 15272, 18392, 24754, 36000, 35195, 1, 1
15:16:24, 1014.40, 25.20, 24.13, 27.516, 3168, 4051, 5715, 6940, 8261, 10331, 11612, 12110, 36000, 14538, 1, 1, 5253, 9529, 12282, 16457, 15349, 16063, 19690, 21988, 36000, 31144, 1, 1
15:16:25, 1014.50, 25.21, 24.11, 27.539, 2644, 4293, 5855, 6936, 7458, 7809, 9323, 10657, 30091, 11625, 0, 0, 2699, 4561, 6460, 8304, 10528, 10765, 12580, 13153, 36000, 17236, 1, 1
15:16:26, 1015.10, 25.24, 24.13, 27.555, 2289, 3518, 4849, 5689, 5682, 5927, 6874, 7601, 22700, 7713, 0, 0, 1469, 2267, 3481, 4458, 5305, 5330, 5713, 5787, 20093, 5178, 0, 0
15:16:26, 1015.30, 25.25, 24.15, 27.555, 5904, 10735, 15116, 17628, 14425, 14748, 19883, 20827, 36000, 34974, 1, 1, 1068, 1779, 2713, 3694, 3638, 3591, 3718, 3639, 10846, 2282, 0, 0
15:16:27, 1025.10, 25.27, 24.15, 27.055, 1987, 3103, 4257, 4987, 5137, 5371, 6318, 6872, 18135, 5059, 0, 0, 283, 461, 960, 1673, 3267, 3286, 3056, 2583, 6203, 486, 0, 0
15:16:28, 1032.20, 25.30, 24.15, 26.609, 3650, 6121, 9339, 12172, 9189, 9340, 11191, 13335, 32692, 7772, 0, 1, 274, 442, 945, 1668, 3039, 3028, 2798, 2315, 6217, 483, 0, 0
15:16:28, 1020.30, 25.36, 24.15, 26.609, 1029, 1755, 2531, 3149, 3815, 3871, 4781, 4990, 16735, 3874, 0, 0, 354, 583, 1214, 2085, 3187, 3162, 2937, 2447, 6704, 535, 0, 0
15:16:29, 1030.50, 25.42, 24.15, 26.406, 2007, 3247, 4560, 5386, 6130, 6364, 7602, 8276, 21975, 4690, 0, 0, 313, 509, 1067, 1856, 3427, 3489, 3251, 2768, 6951, 552, 0, 0
15:16:30, 1024.70, 25.47, 24.13, 26.336, 1753, 2938, 4199, 5211, 6174, 6615, 7402, 8506, 26155, 4310, 0, 0, 317, 517, 1089, 1898, 3644, 3679, 3430, 2916, 7103, 557, 0, 0
