Secchi Depth (cm) = 0110
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A016
Latitude (degs N) = 34.22050
Longitude (degs E) = -77.97801
Date = 2026-06-10
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
16:43:24, 1013.70, 32.20, 31.56, 30.953, 60, 66, 67, 77, 78, 108, 271, 640, 1395, 830, 0, 0, 5536, 8940, 10887, 14589, 16443, 19684, 25435, 35691, 36000, 36000, 1, 1
16:43:24, 1013.60, 32.20, 31.60, 30.937, 57, 63, 64, 75, 76, 105, 263, 615, 1328, 781, 0, 0, 5406, 8711, 10577, 14230, 15716, 18772, 24284, 33976, 36000, 36000, 1, 1
16:43:25, 1013.60, 32.22, 31.66, 30.953, 56, 62, 63, 75, 75, 105, 260, 597, 1291, 750, 0, 0, 5065, 8217, 9884, 13438, 14857, 17865, 23289, 32557, 36000, 36000, 1, 1
16:43:26, 1014.60, 32.27, 31.70, 30.953, 59, 65, 68, 81, 92, 125, 325, 780, 1658, 1000, 0, 0, 5002, 7646, 9872, 12536, 7413, 9382, 13353, 18621, 36000, 30107, 1, 1
16:43:26, 1014.00, 32.28, 31.68, 30.961, 68, 75, 72, 78, 90, 128, 376, 882, 1743, 1039, 0, 0, 3117, 4433, 5696, 7243, 9713, 12325, 17468, 23852, 36000, 36000, 1, 1
16:43:27, 1014.20, 32.24, 31.71, 30.992, 82, 90, 86, 93, 93, 133, 382, 899, 1737, 1019, 0, 0, 4644, 7101, 9565, 11897, 21727, 26918, 31732, 35729, 36000, 36000, 1, 1
16:43:28, 1013.80, 32.31, 31.70, 30.992, 222, 248, 336, 388, 4465, 4592, 5365, 5912, 19761, 7731, 0, 0, 9729, 15102, 21848, 26256, 14296, 15485, 17795, 20378, 36000, 28736, 1, 1
16:43:28, 1013.50, 32.35, 31.71, 31.016, 2588, 3771, 5549, 6739, 24198, 28084, 29822, 32950, 31997, 14199, 0, 1, 2613, 4392, 5829, 7705, 7066, 7692, 9035, 9850, 23516, 7186, 0, 0
16:43:29, 1023.30, 32.31, 31.70, 30.984, 9712, 16828, 23293, 28043, 26027, 27746, 32449, 35203, 36000, 31862, 1, 1, 421, 597, 1153, 2007, 3325, 3992, 4790, 4999, 8879, 874, 0, 0
16:43:30, 1035.90, 32.13, 31.75, 30.984, 9304, 14594, 21602, 23437, 24074, 26331, 26318, 29918, 36000, 26798, 1, 1, 249, 333, 658, 1216, 2102, 2588, 3117, 3275, 6210, 599, 0, 0
16:43:30, 1041.90, 31.91, 31.70, 28.711, 3572, 6206, 10595, 15339, 22181, 24156, 27497, 30278, 36000, 19656, 1, 1, 276, 347, 701, 1339, 2194, 2696, 3323, 3443, 7197, 659, 0, 0
16:43:31, 1040.90, 31.72, 31.68, 27.766, 3953, 9089, 12777, 21075, 14934, 17316, 19234, 24277, 36000, 13257, 1, 1, 248, 311, 630, 1207, 2187, 2689, 3309, 3448, 6887, 626, 0, 0
16:43:32, 1039.10, 31.57, 31.64, 27.766, 2845, 5813, 8995, 12244, 16031, 18282, 23424, 28536, 36000, 19285, 1, 1, 233, 288, 582, 1123, 2024, 2504, 3073, 3203, 5819, 530, 0, 0
16:43:32, 1036.50, 31.44, 31.66, 27.367, 4044, 7040, 11616, 14277, 18014, 21725, 23425, 33678, 36000, 19040, 1, 1, 223, 281, 563, 1073, 1939, 2395, 2927, 3050, 5454, 502, 0, 0
16:43:33, 1041.50, 31.33, 31.68, 27.227, 4286, 8596, 13877, 20155, 31856, 32179, 35925, 35895, 36000, 15532, 1, 1, 195, 241, 484, 933, 1809, 2247, 2762, 2873, 5134, 464, 0, 0
16:43:34, 1048.30, 31.24, 31.60, 27.227, 3873, 7468, 11917, 19138, 20698, 22292, 27718, 28998, 36000, 9251, 1, 1, 190, 227, 458, 906, 1850, 2312, 2861, 2985, 5541, 497, 0, 0
16:43:34, 1040.50, 31.16, 31.62, 27.164, 3796, 7163, 12128, 17225, 17152, 20481, 21102, 29843, 36000, 11770, 1, 1, 258, 321, 651, 1254, 2645, 3236, 3973, 4152, 8546, 781, 0, 0
16:43:35, 1041.30, 31.09, 31.60, 27.117, 4135, 7243, 13095, 19592, 27165, 28213, 33412, 34230, 36000, 13666, 1, 1, 246, 305, 619, 1201, 2467, 3024, 3727, 3869, 8096, 734, 0, 0
16:43:36, 1041.10, 31.02, 31.62, 27.117, 3594, 7991, 11460, 20170, 22387, 23890, 29385, 31785, 36000, 17362, 1, 1, 283, 356, 716, 1367, 2395, 2953, 3623, 3772, 7878, 724, 0, 0
16:43:36, 1041.70, 30.96, 31.64, 27.109, 4426, 7433, 13408, 18555, 27135, 28929, 33289, 34158, 36000, 10305, 1, 1, 258, 316, 632, 1234, 2388, 2980, 3642, 3812, 7551, 709, 0, 0
16:43:37, 1041.10, 30.90, 31.60, 27.125, 5063, 9030, 15520, 19454, 26651, 28762, 33293, 34847, 36000, 6559, 1, 1, 235, 288, 574, 1128, 2127, 2668, 3259, 3420, 6471, 612, 0, 0
16:43:38, 1038.30, 30.83, 31.62, 27.125, 4942, 9425, 14936, 22509, 28456, 30031, 34338, 34679, 36000, 8995, 1, 1, 224, 274, 547, 1082, 2193, 2752, 3360, 3514, 6244, 588, 0, 0
16:43:38, 1034.40, 30.77, 31.60, 27.117, 3827, 6869, 10865, 16418, 24118, 26225, 31466, 32045, 34615, 5466, 0, 1, 236, 299, 593, 1148, 2229, 2771, 3378, 3526, 6288, 594, 0, 0
16:43:39, 1025.60, 30.71, 31.56, 27.109, 4862, 8905, 14720, 22369, 25087, 27961, 31065, 31727, 35936, 6895, 0, 1, 269, 355, 700, 1321, 2428, 2976, 3608, 3761, 6735, 656, 0, 0
16:43:40, 1027.90, 30.67, 31.56, 27.109, 8345, 14291, 22950, 28785, 33197, 35163, 36000, 36000, 36000, 22479, 1, 1, 250, 335, 656, 1215, 2147, 2639, 3197, 3321, 5795, 556, 0, 0
16:43:40, 1028.40, 30.63, 31.56, 27.109, 7454, 14351, 20613, 28031, 30816, 31034, 35990, 36000, 36000, 17141, 1, 1, 220, 283, 562, 1067, 1965, 2434, 2956, 3061, 5102, 472, 0, 0
16:43:41, 1030.00, 30.62, 31.58, 27.109, 7919, 15845, 21156, 31609, 31681, 35283, 36000, 36000, 36000, 26341, 1, 1, 225, 298, 586, 1081, 1992, 2449, 2977, 3080, 5435, 516, 0, 0
16:43:42, 1028.60, 30.60, 31.56, 27.109, 7553, 13648, 21346, 30140, 31004, 31596, 36000, 36000, 36000, 19509, 1, 1, 239, 313, 620, 1163, 2161, 2651, 3219, 3343, 5859, 558, 0, 0
16:43:42, 1030.60, 30.58, 31.58, 27.102, 6552, 11047, 19198, 21413, 33282, 32698, 35050, 35795, 36000, 22728, 1, 1, 247, 330, 651, 1208, 2166, 2649, 3217, 3338, 6057, 580, 0, 0
16:43:43, 1028.60, 30.57, 31.55, 27.117, 7049, 13385, 21573, 28323, 29553, 31262, 34279, 36000, 36000, 11121, 1, 1, 244, 320, 632, 1193, 2199, 2704, 3283, 3407, 5924, 568, 0, 0
16:43:44, 1031.60, 30.55, 31.56, 27.117, 5896, 11244, 16192, 20125, 25685, 28258, 33098, 35083, 36000, 19157, 1, 1, 224, 296, 585, 1091, 1985, 2454, 2979, 3083, 5370, 507, 0, 0
16:43:44, 1027.90, 30.53, 31.53, 27.117, 6361, 12205, 18782, 24843, 31418, 31356, 36000, 36000, 36000, 17129, 1, 1, 223, 292, 576, 1082, 1987, 2452, 2974, 3077, 5268, 503, 0, 0
16:43:45, 1031.60, 30.50, 31.55, 27.117, 7405, 14711, 19784, 29393, 32270, 34182, 36000, 36000, 36000, 24677, 1, 1, 210, 274, 541, 1008, 1841, 2277, 2770, 2853, 4893, 457, 0, 0
16:43:46, 1031.00, 30.48, 31.56, 27.117, 4940, 11048, 15365, 21523, 33207, 34217, 35878, 36000, 36000, 21854, 1, 1, 218, 283, 561, 1051, 1977, 2433, 2961, 3062, 5374, 505, 0, 0
16:43:46, 1033.20, 30.46, 31.55, 27.125, 6822, 12309, 19629, 26969, 30265, 31862, 33503, 34201, 36000, 21719, 1, 1, 229, 297, 591, 1112, 2043, 2510, 3053, 3161, 5592, 521, 0, 0
16:43:47, 1031.10, 30.45, 31.53, 27.125, 11234, 20756, 30731, 33599, 26087, 27297, 31756, 34675, 36000, 18327, 1, 1, 242, 314, 626, 1177, 2152, 2635, 3200, 3323, 5961, 564, 0, 0
16:43:48, 1033.80, 30.43, 31.53, 27.125, 10636, 14729, 26129, 29222, 29168, 31726, 34607, 34264, 36000, 18133, 1, 1, 222, 292, 582, 1077, 1965, 2407, 2927, 3024, 5478, 509, 0, 0
16:43:48, 1033.80, 30.41, 31.51, 27.133, 5287, 9677, 16232, 17420, 27680, 26637, 30610, 33998, 36000, 16606, 1, 1, 220, 283, 565, 1060, 1936, 2373, 2888, 2980, 5400, 501, 0, 0
16:43:49, 1032.70, 30.38, 31.56, 27.133, 6584, 10019, 17119, 21813, 24410, 27293, 27667, 36000, 36000, 23499, 1, 1, 224, 289, 577, 1083, 1953, 2400, 2920, 3013, 5388, 499, 0, 0
16:43:50, 1034.70, 30.36, 31.55, 27.133, 4281, 7578, 12480, 17235, 29506, 31060, 33766, 34826, 36000, 18807, 1, 1, 209, 267, 535, 1009, 1941, 2390, 2913, 3002, 5323, 487, 0, 0
16:43:50, 1034.80, 30.35, 31.51, 27.141, 6567, 10101, 16321, 21392, 28610, 30456, 31260, 32762, 36000, 24700, 1, 1, 210, 268, 535, 1011, 1920, 2366, 2880, 2967, 5248, 483, 0, 0
16:43:51, 1034.90, 30.34, 31.55, 27.141, 6502, 9166, 15939, 19200, 29418, 29985, 31362, 34253, 36000, 22282, 1, 1, 216, 276, 553, 1046, 1906, 2352, 2864, 2946, 5216, 480, 0, 0
16:43:52, 1034.60, 30.32, 31.55, 27.133, 4266, 7265, 12248, 16766, 27569, 31381, 33409, 33964, 36000, 16298, 1, 1, 206, 263, 526, 997, 1907, 2357, 2866, 2944, 5108, 466, 0, 0
16:43:52, 1033.10, 30.32, 31.49, 27.148, 4190, 8536, 12737, 18172, 29037, 29854, 32400, 33088, 36000, 17772, 1, 1, 206, 265, 525, 996, 1826, 2268, 2756, 2823, 4838, 450, 0, 0
16:43:53, 1033.80, 30.31, 31.45, 27.148, 9935, 15152, 26218, 29722, 21889, 24374, 28827, 30522, 36000, 12036, 1, 1, 192, 242, 482, 929, 1767, 2217, 2692, 2755, 4510, 411, 0, 0
16:43:54, 1037.20, 30.30, 31.51, 27.141, 4677, 10021, 13858, 20548, 24353, 25907, 29642, 31743, 36000, 14487, 1, 1, 161, 198, 389, 756, 1443, 1829, 2229, 2260, 3740, 337, 0, 0
16:43:54, 1034.80, 30.29, 31.45, 27.164, 2333, 4652, 8309, 9615, 13626, 14614, 16292, 21234, 35227, 6127, 0, 1, 164, 198, 392, 781, 1543, 1956, 2382, 2425, 3857, 345, 0, 0
16:43:55, 1037.10, 30.27, 31.49, 27.164, 5784, 11276, 17915, 24836, 23475, 25679, 31011, 32511, 36000, 12375, 1, 1, 192, 241, 480, 927, 1785, 2234, 2716, 2777, 4689, 426, 0, 0
16:43:56, 1036.00, 30.25, 31.53, 27.164, 4456, 8025, 13370, 19110, 26270, 27352, 33563, 34558, 36000, 12191, 1, 1, 198, 245, 492, 957, 1856, 2320, 2820, 2890, 4830, 438, 0, 0
16:43:56, 1038.60, 30.24, 31.49, 27.172, 6540, 12521, 19399, 27343, 32704, 33896, 35934, 36000, 36000, 22531, 1, 1, 196, 245, 490, 947, 1744, 2183, 2660, 2717, 4593, 413, 0, 0
16:43:57, 1037.20, 30.22, 31.53, 27.172, 4052, 8913, 13051, 19416, 17890, 19416, 23088, 26385, 36000, 8050, 1, 1, 182, 221, 443, 871, 1692, 2129, 2596, 2647, 4312, 383, 0, 0
