Secchi Depth (cm) = 9999
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A016
Latitude (degs N) = 34.35530
Longitude (degs E) = -78.17857
Date = 2026-06-18
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
15:52:24, 1010.60, 31.59, 31.28, 31.219, 367, 504, 653, 756, 758, 739, 865, 889, 7107, 3543, 0, 0, 1840, 2663, 3715, 4244, 6109, 7313, 9108, 11725, 33604, 19329, 0, 1
15:52:24, 1010.40, 31.59, 31.28, 31.203, 505, 686, 902, 1026, 1081, 1074, 1228, 1273, 9494, 4297, 0, 0, 2234, 3146, 4324, 5070, 5815, 7027, 8998, 11601, 33859, 19098, 0, 1
15:52:25, 1010.40, 31.59, 31.26, 31.203, 411, 556, 727, 835, 884, 864, 1011, 1029, 8038, 3831, 0, 0, 2302, 3284, 4487, 5292, 6246, 7346, 9462, 11998, 36000, 20633, 1, 1
15:52:26, 1010.50, 31.59, 31.25, 31.180, 326, 421, 561, 627, 690, 695, 765, 834, 6665, 3468, 0, 0, 2778, 3993, 5411, 6403, 7325, 8586, 10983, 13922, 36000, 24320, 1, 1
15:52:26, 1010.50, 31.59, 31.28, 31.172, 324, 424, 560, 632, 704, 698, 786, 838, 6737, 3472, 0, 0, 2643, 3788, 5151, 6073, 7060, 8278, 10641, 13505, 36000, 23538, 1, 1
15:52:27, 1010.50, 31.59, 31.26, 31.172, 328, 429, 566, 639, 716, 708, 799, 849, 6812, 3502, 0, 0, 2510, 3597, 4921, 5767, 6698, 7823, 10031, 12689, 36000, 22116, 1, 1
15:52:28, 1010.30, 31.59, 31.26, 31.148, 320, 420, 552, 625, 696, 688, 778, 825, 6674, 3483, 0, 0, 2562, 3663, 5001, 5878, 6821, 7980, 10223, 12964, 36000, 22694, 1, 1
15:52:28, 1010.30, 31.58, 31.25, 31.148, 324, 432, 563, 649, 733, 719, 837, 860, 6937, 3583, 0, 0, 2631, 3718, 4948, 6061, 8104, 10049, 12937, 16523, 36000, 26093, 1, 1
15:52:29, 1010.20, 31.58, 31.26, 31.148, 317, 418, 543, 646, 744, 734, 896, 902, 6530, 3837, 0, 0, 2344, 3330, 4337, 5542, 5731, 7026, 9456, 11766, 35296, 19895, 0, 1
15:52:30, 1010.00, 31.57, 31.23, 31.117, 657, 885, 1177, 1319, 969, 973, 1075, 1144, 8631, 4134, 0, 0, 3413, 5154, 6944, 8292, 9863, 11063, 13198, 15714, 36000, 26714, 1, 1
