Secchi Depth (cm) = 9999
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A016
Latitude (degs N) = 34.33546
Longitude (degs E) = -78.05312
Date = 2026-06-18
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
16:19:30, 1010.30, 32.39, 32.24, 32.242, 47, 52, 55, 68, 79, 112, 207, 352, 926, 673, 0, 0, 123, 139, 134, 157, 171, 260, 562, 1073, 2706, 1995, 0, 0
16:19:30, 1010.40, 32.39, 32.17, 32.266, 56, 63, 66, 80, 106, 151, 279, 489, 1322, 991, 0, 0, 141, 158, 151, 172, 211, 332, 760, 1449, 3564, 2602, 0, 0
16:19:31, 1010.60, 32.40, 32.22, 32.273, 58, 65, 68, 83, 112, 160, 291, 488, 1235, 888, 0, 0, 368, 400, 464, 588, 748, 1070, 1706, 2650, 7923, 5674, 0, 0
16:19:32, 1010.40, 32.42, 32.24, 32.273, 75, 88, 106, 131, 272, 355, 611, 958, 2871, 1783, 0, 0, 3219, 5239, 6938, 8811, 14536, 15395, 18427, 21826, 35996, 32532, 0, 1
16:19:32, 1010.60, 32.43, 32.19, 32.344, 1974, 3014, 4073, 4991, 20252, 20940, 24488, 25427, 25311, 14010, 0, 0, 1304, 1985, 2758, 3480, 3583, 3973, 4916, 5464, 16737, 6545, 0, 0
16:19:33, 1013.40, 32.37, 32.20, 32.219, 6687, 12010, 15849, 21232, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 215, 309, 559, 909, 1521, 1838, 2431, 2775, 5702, 714, 0, 0
16:19:34, 1015.70, 32.20, 32.20, 32.219, 11069, 23250, 28052, 34877, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 153, 208, 379, 639, 1036, 1278, 1719, 1977, 3668, 425, 0, 0
16:19:34, 1022.00, 32.14, 32.20, 30.195, 1943, 3163, 4465, 5462, 6832, 7601, 8594, 10005, 34734, 9614, 0, 1, 133, 175, 323, 563, 859, 1087, 1478, 1711, 3044, 328, 0, 0
16:19:35, 1030.40, 32.11, 32.24, 29.430, 1573, 2547, 4017, 5473, 4920, 5502, 6359, 7541, 23216, 4948, 0, 0, 82, 100, 185, 339, 544, 702, 962, 1123, 1873, 194, 0, 0
16:19:36, 1031.20, 32.11, 32.17, 29.430, 756, 1276, 2205, 3096, 4518, 4925, 6172, 7015, 17276, 2538, 0, 0, 49, 56, 103, 201, 419, 545, 749, 877, 1309, 134, 0, 0
16:19:36, 1030.50, 32.10, 32.22, 29.094, 1129, 1910, 3294, 4632, 6199, 6948, 8604, 9165, 25020, 3613, 0, 0, 62, 76, 142, 269, 515, 653, 881, 1018, 1795, 187, 0, 0
16:19:37, 1035.60, 32.10, 32.19, 28.961, 1517, 2545, 4775, 6152, 6570, 7894, 8634, 10978, 34240, 6028, 0, 1, 61, 74, 139, 262, 436, 562, 768, 894, 1555, 159, 0, 0
16:19:38, 1034.70, 32.09, 32.20, 28.961, 655, 1081, 1955, 2933, 4087, 4631, 5860, 6440, 14840, 1871, 0, 0, 50, 56, 101, 200, 403, 537, 749, 887, 1312, 132, 0, 0
16:19:38, 1035.70, 32.09, 32.22, 28.898, 778, 1286, 2288, 3356, 4183, 4755, 5838, 6599, 17040, 2454, 0, 0, 59, 68, 124, 240, 489, 641, 882, 1036, 1727, 174, 0, 0
16:19:39, 1035.60, 32.08, 32.22, 28.859, 762, 1285, 2280, 3421, 4855, 5560, 7049, 7778, 20041, 2342, 0, 0, 72, 78, 139, 275, 589, 794, 1125, 1343, 2007, 201, 0, 0
16:19:40, 1037.00, 32.07, 32.20, 28.859, 2094, 3801, 6622, 10290, 16372, 16812, 25369, 24994, 36000, 7920, 1, 1, 89, 102, 187, 357, 703, 921, 1286, 1515, 2702, 275, 0, 0
16:19:40, 1030.70, 32.06, 32.19, 28.844, 2357, 3665, 6839, 10738, 24764, 27695, 31285, 33373, 36000, 13679, 1, 1, 116, 134, 242, 469, 976, 1273, 1759, 2099, 3637, 389, 0, 0
16:19:41, 1027.10, 32.05, 32.20, 28.844, 5963, 8735, 15979, 21783, 26255, 29193, 33481, 33490, 36000, 20392, 1, 1, 173, 214, 392, 733, 1244, 1596, 2191, 2603, 4740, 521, 0, 0
16:19:42, 1025.80, 32.04, 32.20, 28.844, 9136, 13374, 21529, 28668, 30683, 31796, 33447, 34225, 36000, 23233, 1, 1, 136, 162, 291, 551, 911, 1206, 1677, 2014, 3113, 345, 0, 0
16:19:42, 1026.20, 32.02, 32.20, 28.836, 1520, 2509, 4164, 5535, 6785, 7320, 9176, 10311, 31072, 5477, 0, 0, 136, 168, 312, 564, 983, 1262, 1743, 2036, 3693, 396, 0, 0
16:19:43, 1025.70, 32.00, 32.19, 28.828, 6527, 11672, 21794, 28937, 35677, 36000, 36000, 36000, 36000, 28729, 1, 1, 142, 179, 329, 593, 1213, 1532, 2085, 2429, 4530, 499, 0, 0
16:19:44, 1026.20, 31.99, 32.15, 28.828, 4815, 7729, 16103, 19352, 35581, 36000, 36000, 36000, 36000, 34678, 1, 1, 152, 191, 359, 643, 1130, 1437, 1965, 2304, 4255, 459, 0, 0
16:19:44, 1025.00, 31.98, 32.19, 28.828, 7911, 9923, 18675, 23188, 29658, 33062, 36000, 35968, 36000, 22864, 1, 1, 161, 204, 376, 678, 1225, 1547, 2108, 2473, 4706, 524, 0, 0
16:19:45, 1024.40, 31.97, 32.20, 28.844, 1897, 3405, 5355, 7431, 9235, 10385, 12998, 13407, 35975, 6484, 0, 1, 143, 177, 321, 595, 1058, 1365, 1884, 2232, 3898, 435, 0, 0
16:19:46, 1021.50, 31.96, 32.20, 28.844, 4627, 6872, 12128, 15856, 24310, 26341, 30177, 29008, 36000, 20178, 1, 1, 165, 213, 394, 695, 1194, 1505, 2051, 2397, 4515, 513, 0, 0
16:19:46, 1025.00, 31.95, 32.20, 28.836, 7357, 12526, 18574, 28426, 25765, 32800, 28622, 34272, 36000, 30858, 1, 1, 147, 190, 353, 608, 993, 1263, 1739, 2030, 3701, 412, 0, 0
16:19:47, 1022.70, 31.94, 32.22, 28.844, 5859, 12142, 17635, 26413, 32095, 32158, 34440, 34149, 36000, 25963, 1, 1, 119, 145, 264, 473, 862, 1112, 1550, 1821, 3063, 337, 0, 0
16:19:48, 1025.10, 31.93, 32.20, 28.844, 8496, 11956, 26046, 27264, 24644, 29704, 35021, 36000, 36000, 32569, 1, 1, 155, 206, 383, 652, 1080, 1352, 1815, 2118, 4010, 451, 0, 0
16:19:48, 1022.10, 31.92, 32.19, 28.828, 4916, 8565, 15320, 20902, 24737, 23879, 34774, 31503, 36000, 17222, 1, 1, 112, 146, 270, 474, 798, 995, 1342, 1563, 2972, 337, 0, 0
16:19:49, 1029.30, 31.91, 32.20, 28.844, 3468, 5996, 9588, 12717, 24378, 25161, 27573, 31679, 36000, 21077, 1, 1, 124, 152, 281, 519, 944, 1225, 1702, 2020, 3528, 378, 0, 0
16:19:50, 1026.50, 31.90, 32.19, 28.844, 1319, 2275, 3787, 5267, 6666, 7110, 8905, 9684, 29146, 4930, 0, 0, 143, 173, 315, 585, 1073, 1387, 1932, 2294, 4147, 453, 0, 0
16:19:50, 1023.50, 31.89, 32.17, 28.836, 1413, 2343, 3810, 5011, 6526, 7222, 8701, 9635, 29735, 5933, 0, 0, 158, 198, 357, 653, 1139, 1462, 2023, 2400, 4360, 495, 0, 0
