Secchi Depth (cm) = 9999
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A016
Latitude (degs N) = 34.35236
Longitude (degs E) = -78.04927
Date = 2026-06-18
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
16:41:01, 1010.20, 31.95, 32.72, 31.195, 821, 1230, 1649, 1929, 2219, 2256, 2593, 2855, 13384, 5303, 0, 0, 5332, 7793, 9401, 11947, 16227, 17752, 23238, 30206, 36000, 36000, 1, 1
16:41:01, 1010.10, 31.94, 32.74, 31.187, 1618, 2209, 3190, 3413, 4894, 4703, 5436, 5867, 35942, 19778, 0, 1, 7967, 10862, 15672, 18931, 34549, 35548, 36000, 36000, 36000, 36000, 1, 1
16:41:02, 1010.00, 31.95, 32.74, 31.195, 1632, 2163, 3119, 3348, 4256, 4317, 4756, 5233, 31964, 14279, 0, 0, 5249, 7116, 8829, 11006, 11495, 12736, 15657, 23126, 36000, 36000, 1, 1
16:41:03, 1009.30, 31.96, 32.72, 31.195, 2427, 2542, 3912, 4213, 5382, 6565, 6071, 7700, 36000, 21988, 1, 1, 3588, 4902, 6000, 7683, 12205, 13438, 15990, 19388, 36000, 31887, 1, 1
16:41:03, 1009.10, 31.98, 32.74, 31.172, 11045, 20301, 26680, 33906, 19752, 20142, 20975, 21541, 27613, 18164, 0, 1, 3615, 5244, 7800, 8948, 8410, 9629, 10691, 13174, 31337, 12206, 0, 0
16:41:04, 1010.00, 32.00, 32.74, 31.180, 8529, 11153, 16433, 18433, 34049, 34795, 34919, 35951, 36000, 36000, 1, 1, 1217, 1933, 2796, 3479, 7708, 8164, 9860, 10504, 27486, 13827, 0, 0
16:41:05, 1014.50, 31.95, 32.74, 31.180, 11577, 20639, 28658, 31847, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1, 247, 355, 641, 1086, 1536, 1877, 2470, 2886, 5049, 605, 0, 0
16:41:05, 1024.90, 31.86, 32.74, 30.070, 7401, 11935, 17235, 21755, 16468, 17513, 22003, 22264, 34268, 12226, 0, 1, 191, 243, 452, 830, 1435, 1812, 2466, 2899, 5400, 599, 0, 0
16:41:06, 1022.70, 31.77, 32.74, 29.328, 3728, 6644, 11796, 13229, 27763, 27948, 31114, 32345, 36000, 22457, 1, 1, 169, 211, 391, 729, 1386, 1752, 2403, 2855, 4674, 496, 0, 0
16:41:07, 1023.10, 31.69, 32.74, 29.328, 6837, 14183, 23218, 28234, 14430, 15909, 19482, 22023, 29966, 4676, 0, 0, 167, 201, 372, 715, 1321, 1692, 2325, 2767, 4087, 423, 0, 0
16:41:07, 1020.60, 31.63, 32.76, 29.039, 6250, 10598, 17203, 22780, 26542, 29558, 28978, 34571, 28419, 5507, 0, 1, 191, 251, 471, 863, 1475, 1839, 2469, 2895, 4558, 499, 0, 0
16:41:08, 1022.60, 31.59, 32.77, 28.937, 4159, 7273, 11507, 15690, 20374, 25719, 28219, 30945, 34035, 8924, 0, 1, 175, 222, 418, 781, 1368, 1720, 2336, 2745, 4368, 461, 0, 0
16:41:09, 1021.20, 31.55, 32.74, 28.937, 5431, 9293, 16024, 21499, 29314, 32782, 34942, 34354, 35757, 13748, 0, 1, 178, 228, 428, 795, 1400, 1749, 2380, 2790, 4495, 481, 0, 0
16:41:09, 1020.00, 31.52, 32.77, 28.906, 10279, 14251, 21296, 23731, 32740, 34944, 35454, 35626, 36000, 23061, 1, 1, 192, 252, 474, 869, 1528, 1899, 2554, 2985, 4915, 534, 0, 0
16:41:10, 1018.90, 31.48, 32.74, 28.898, 2878, 4747, 8546, 11018, 13959, 15703, 19227, 18332, 19323, 4622, 0, 0, 196, 257, 479, 879, 1532, 1914, 2584, 3023, 4872, 525, 0, 0
16:41:11, 1019.30, 31.45, 32.76, 28.898, 5625, 9239, 13908, 17594, 30481, 31338, 34035, 34624, 35856, 15020, 0, 1, 194, 253, 476, 879, 1550, 1933, 2597, 3027, 4918, 529, 0, 0
16:41:11, 1016.80, 31.42, 32.76, 28.898, 2328, 4554, 6477, 8857, 19152, 19669, 23470, 24186, 28934, 11375, 0, 0, 206, 282, 528, 939, 1610, 1972, 2619, 3020, 5248, 588, 0, 0
