Secchi Depth (cm) = 0090
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A017
Latitude (degs N) = 34.14000
Longitude (degs E) = -77.94564
Date = 2026-06-25
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
17:49:48, 1010.80, 28.58, 30.76, 32.758, 8648, 14539, 19985, 22525, 29944, 27362, 30450, 36000, 36000, 36000, 1, 1, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
17:49:48, 1010.80, 28.59, 30.76, 32.758, 8688, 14808, 20033, 22961, 30059, 27573, 30950, 36000, 36000, 36000, 1, 1, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
17:49:49, 1010.50, 28.60, 30.76, 32.805, 8578, 14222, 19708, 22095, 29150, 27000, 29774, 36000, 36000, 36000, 1, 1, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
17:49:50, 1010.80, 28.61, 30.82, 32.844, 8622, 14485, 19893, 22433, 29950, 27389, 30528, 36000, 36000, 36000, 1, 1, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
17:49:50, 1010.70, 28.61, 30.80, 32.844, 8694, 14848, 20000, 23066, 30159, 27741, 31245, 36000, 36000, 36000, 1, 1, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
17:49:51, 1011.20, 28.62, 30.76, 32.883, 8628, 14433, 19842, 22445, 29627, 27157, 30127, 36000, 36000, 36000, 1, 1, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
17:49:52, 1010.80, 28.62, 30.82, 32.930, 8635, 14490, 19932, 22403, 29931, 27406, 30423, 36000, 36000, 36000, 1, 1, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
17:49:52, 1011.00, 28.62, 30.82, 32.930, 8707, 14801, 20000, 23052, 30111, 27740, 31342, 36000, 36000, 36000, 1, 1, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
17:49:53, 1010.90, 28.63, 30.80, 32.969, 8685, 14661, 20000, 22738, 30000, 27461, 30566, 36000, 36000, 36000, 1, 1, 33466, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
17:49:54, 1010.80, 28.62, 30.82, 32.969, 4016, 7012, 9357, 10378, 3759, 3775, 4527, 5072, 16819, 5949, 0, 0, 35849, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
17:49:54, 1010.80, 28.63, 30.84, 33.023, 6767, 10986, 15539, 17120, 22049, 22276, 29479, 32868, 36000, 36000, 1, 1, 10355, 13329, 15784, 18430, 21834, 32946, 36000, 36000, 36000, 36000, 1, 1
17:49:55, 1011.00, 28.64, 30.82, 33.078, 1817, 2873, 3911, 4368, 3515, 3499, 4068, 4174, 18225, 4970, 0, 0, 936, 1048, 1233, 1647, 5540, 7941, 12664, 16018, 32546, 22399, 0, 1
