Secchi Depth (cm) = 0080
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A017
Latitude (degs N) = 34.24380
Longitude (degs E) = -77.97031
Date = 2026-06-25
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
19:01:01, 1011.80, 28.02, 30.04, 25.195, 2786, 3625, 5217, 6081, 6687, 7834, 8418, 9494, 36000, 16313, 1, 1, 7213, 10955, 13952, 18475, 23590, 25309, 36000, 36000, 36000, 36000, 1, 1
19:01:01, 1012.00, 28.02, 30.02, 25.234, 3761, 4497, 6655, 7681, 8908, 11722, 11369, 12936, 36000, 19928, 1, 1, 12192, 19240, 25604, 33549, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
19:01:02, 1012.20, 28.02, 30.04, 25.234, 1232, 1853, 2519, 2907, 1658, 1893, 2318, 2442, 7708, 2455, 0, 0, 15067, 21434, 26754, 28839, 35107, 35353, 35839, 35984, 36000, 36000, 1, 1
19:01:03, 1012.00, 28.02, 30.02, 25.203, 871, 1189, 1754, 2044, 4628, 4723, 5678, 6078, 26971, 9523, 0, 0, 1607, 2254, 3348, 4735, 10866, 11015, 14449, 13909, 35710, 24295, 0, 1
19:01:03, 1020.40, 28.02, 29.99, 25.883, 3116, 5269, 7281, 8736, 24132, 30465, 33021, 32426, 36000, 35158, 1, 1, 238, 330, 658, 1173, 1975, 2369, 2988, 3035, 5460, 541, 0, 0
19:01:04, 1023.00, 28.04, 30.00, 25.883, 1303, 2247, 3256, 4356, 8412, 9196, 12342, 12087, 28669, 5199, 0, 0, 183, 234, 486, 925, 1713, 2070, 2628, 2665, 4514, 444, 0, 0
19:01:05, 1021.70, 28.06, 30.04, 27.328, 2398, 4437, 6243, 9754, 16018, 17586, 19273, 22447, 31281, 5384, 0, 0, 181, 230, 479, 923, 1638, 1985, 2527, 2557, 4139, 401, 0, 0
19:01:05, 1021.30, 28.09, 30.02, 28.117, 3899, 7118, 13272, 13727, 11824, 12025, 14253, 18288, 32122, 5680, 0, 0, 160, 199, 417, 812, 1537, 1875, 2392, 2418, 3786, 360, 0, 0
19:01:06, 1029.30, 28.13, 30.04, 28.117, 4089, 6395, 8684, 12493, 16108, 17652, 19378, 20870, 27041, 6504, 0, 0, 154, 190, 398, 775, 1389, 1711, 2177, 2209, 3445, 325, 0, 0
19:01:07, 1026.80, 28.17, 30.00, 28.633, 2126, 3823, 6900, 8724, 12378, 14208, 16227, 19317, 23129, 3025, 0, 0, 149, 174, 368, 746, 1412, 1744, 2228, 2255, 3626, 344, 0, 0
19:01:07, 1024.40, 28.20, 29.99, 28.914, 4565, 7379, 10290, 15336, 16879, 19571, 21042, 20968, 34777, 7029, 0, 1, 179, 222, 467, 911, 1685, 2052, 2604, 2641, 4298, 409, 0, 0
