Secchi Depth (cm) = 9999
Forel Ule Scale = 99
pH Colour Scale = 99
SensingSecchi S/N = A017
Latitude (degs N) = 33.94756
Longitude (degs E) = -77.97020
Date = 2026-07-02
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
15:20:00, 1010.50, 27.55, 27.60, 26.711, 362, 427, 669, 873, 1236, 1296, 1321, 1500, 4934, 1109, 0, 0, 21531, 33165, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:20:00, 1010.80, 27.57, 27.64, 26.562, 334, 377, 617, 801, 947, 1056, 992, 982, 4255, 758, 0, 0, 20267, 28694, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:20:01, 1012.70, 27.60, 27.60, 26.562, 303, 372, 593, 762, 933, 972, 916, 887, 3894, 725, 0, 0, 15106, 20327, 28675, 29663, 36000, 32775, 36000, 36000, 36000, 36000, 1, 1
15:20:02, 1012.80, 27.60, 27.64, 26.437, 285, 356, 574, 735, 874, 869, 843, 790, 3755, 680, 0, 0, 15171, 20444, 29107, 30060, 29002, 28675, 36000, 36000, 36000, 36000, 1, 1
15:20:02, 1012.90, 27.60, 27.62, 26.437, 717, 1111, 1488, 1714, 3265, 2630, 3084, 3281, 15419, 4180, 0, 0, 5148, 6111, 8075, 10592, 13091, 17233, 25909, 29536, 36000, 29822, 1, 1
15:20:03, 1012.20, 27.60, 27.68, 26.359, 1091, 1600, 2200, 2427, 3016, 3015, 3181, 3169, 16909, 3962, 0, 0, 15405, 23562, 33366, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:20:04, 1012.30, 27.60, 27.64, 26.281, 2148, 6267, 8220, 11763, 30484, 35613, 34104, 36000, 36000, 36000, 1, 1, 4514, 7280, 11020, 14438, 18704, 18399, 20715, 21161, 36000, 23745, 1, 1
15:20:04, 1018.10, 27.61, 27.64, 26.281, 6299, 4394, 11697, 6973, 34598, 31626, 34883, 34266, 36000, 36000, 1, 1, 1325, 2113, 3731, 5525, 7084, 6460, 5841, 4808, 17409, 1358, 0, 0
15:20:05, 1016.70, 27.65, 27.64, 26.219, 9020, 12474, 16547, 20831, 19710, 24104, 30227, 28481, 36000, 22737, 1, 1, 811, 1435, 2888, 4657, 6242, 5684, 5069, 4138, 15011, 1123, 0, 0
15:20:06, 1016.30, 27.70, 27.68, 27.406, 7968, 27047, 29972, 24326, 33101, 30101, 32287, 34790, 36000, 35945, 1, 1, 956, 1686, 3325, 5312, 7551, 6913, 6274, 5246, 17280, 1332, 0, 0
15:20:06, 1028.80, 27.74, 27.66, 27.406, 8993, 20473, 17840, 25673, 15564, 17174, 18998, 18924, 34527, 21182, 0, 1, 834, 1485, 3053, 4978, 6590, 6009, 5470, 4420, 15301, 1091, 0, 0
15:20:07, 1019.40, 27.83, 27.66, 27.992, 4638, 4739, 9313, 8537, 8275, 7239, 8348, 10375, 35373, 15863, 0, 1, 961, 1697, 3440, 5523, 7775, 7090, 6518, 5379, 17881, 1326, 0, 0
15:20:08, 1018.80, 27.90, 27.62, 28.359, 7946, 8481, 14754, 11892, 13262, 11250, 12249, 13232, 36000, 36000, 1, 1, 922, 1618, 3286, 5278, 7788, 7094, 6492, 5312, 18557, 1347, 0, 0
15:20:08, 1029.60, 27.95, 27.64, 28.359, 2160, 3292, 5417, 5462, 12566, 10913, 14816, 15861, 36000, 24293, 1, 1, 789, 1395, 2881, 4619, 6278, 5622, 5199, 4226, 14327, 1059, 0, 0
15:20:09, 1020.10, 28.01, 27.64, 28.539, 3561, 7643, 10099, 12300, 18088, 16786, 22450, 22196, 35729, 24526, 0, 1, 834, 1494, 3059, 4934, 7358, 6687, 6164, 5098, 16218, 1189, 0, 0
15:20:10, 1017.90, 28.05, 27.62, 28.625, 2364, 4098, 4728, 10844, 10422, 16304, 26449, 12125, 36000, 19621, 1, 1, 908, 1606, 3254, 5176, 7304, 6603, 6112, 4981, 15725, 1158, 0, 0
15:20:10, 1028.80, 28.08, 27.66, 28.625, 3532, 5573, 7334, 9726, 29136, 29138, 31762, 32987, 36000, 19764, 1, 1, 858, 1532, 3116, 5038, 7340, 6707, 6193, 5101, 15493, 1093, 0, 0
15:20:11, 1016.60, 28.11, 27.64, 28.695, 2554, 2593, 3617, 5531, 5034, 10198, 9512, 7512, 22915, 4103, 0, 0, 894, 1581, 3225, 5167, 7735, 7039, 6495, 5335, 16459, 1233, 0, 0
