Secchi Depth (cm) = 153&
Forel Ule Scale = &p
pH Colour Scale =  H
SensingSecchi S/N = A016
Latitude (degs N) = 34.13999
Longitude (degs E) = -77.86250
Date = 2026-01-29
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
20:57:01, 1018.00, 20.09, 22.27, 14.727, 538, 794, 1100, 1325, 1462, 1591, 1952, 2512, 9362, 5763, 0, 0, 1523, 1982, 2219, 2643, 2430, 2991, 3188, 4962, 26689, 29465, 0, 0
20:57:01, 1017.70, 20.08, 22.28, 14.727, 534, 788, 1089, 1314, 1019, 1127, 1441, 1911, 6454, 3831, 0, 0, 393, 512, 573, 711, 667, 885, 1103, 1727, 7792, 8436, 0, 0
20:57:02, 1017.90, 20.09, 22.28, 14.758, 26, 29, 29, 30, 30, 43, 99, 221, 545, 439, 0, 0, 598, 748, 857, 1032, 1150, 1455, 1857, 2800, 10658, 10543, 0, 0
20:57:03, 1017.80, 20.10, 22.27, 14.617, 27, 30, 29, 31, 145, 203, 355, 558, 1566, 1180, 0, 0, 1396, 1794, 1976, 2281, 2340, 2816, 3304, 5094, 25500, 28389, 0, 0
20:57:03, 1017.90, 20.09, 22.28, 14.617, 531, 784, 1067, 1298, 1470, 1616, 1946, 2450, 8593, 4306, 0, 0, 1481, 1899, 2124, 2466, 2413, 2872, 3267, 5026, 26337, 29699, 0, 0
20:57:04, 1018.00, 20.08, 22.28, 14.531, 562, 817, 1121, 1360, 1425, 1576, 1901, 2415, 8945, 4630, 0, 0, 1744, 2291, 2600, 3017, 3329, 3882, 4409, 6712, 33752, 34996, 0, 1
20:57:05, 1017.80, 20.08, 22.27, 14.406, 531, 781, 1074, 1323, 1391, 1534, 1878, 2395, 9216, 5153, 0, 0, 2448, 3585, 4080, 4941, 4180, 4931, 5415, 8348, 36000, 36000, 1, 1
20:57:05, 1018.10, 20.08, 22.27, 14.406, 631, 926, 1263, 1504, 1671, 1805, 2128, 2611, 8583, 3893, 0, 0, 1052, 1379, 1574, 1852, 1611, 2090, 2842, 4348, 15522, 15162, 0, 0
20:57:06, 1017.80, 20.08, 22.28, 14.281, 21, 23, 22, 23, 22, 32, 86, 197, 451, 320, 0, 0, 1039, 1424, 1726, 2100, 2315, 2823, 3366, 5171, 16623, 14880, 0, 0
20:57:07, 1017.90, 20.07, 22.27, 14.281, 29, 32, 32, 35, 33, 52, 134, 272, 638, 470, 0, 0, 999, 1375, 1700, 2101, 2327, 2874, 3500, 5256, 17452, 16255, 0, 0
20:57:07, 1017.80, 20.06, 22.28, 14.234, 95, 114, 142, 187, 194, 269, 469, 704, 2144, 1441, 0, 0, 808, 1116, 1297, 1598, 1609, 2031, 2527, 3991, 13484, 13108, 0, 0
20:57:08, 1018.00, 20.05, 22.23, 14.227, 171, 207, 254, 339, 385, 509, 754, 1125, 3414, 2303, 0, 0, 791, 1080, 1296, 1598, 2106, 2598, 3109, 4635, 14539, 12940, 0, 0
20:57:09, 1017.80, 20.05, 22.25, 14.227, 134, 161, 201, 266, 229, 311, 474, 699, 2188, 1467, 0, 0, 1055, 1435, 1821, 2262, 3066, 3712, 4757, 6858, 22758, 18770, 0, 0
20:57:09, 1017.60, 20.04, 22.27, 14.266, 105, 124, 151, 201, 280, 369, 567, 802, 2672, 1812, 0, 0, 1901, 2513, 3191, 3989, 7548, 9150, 11266, 15683, 36000, 36000, 1, 1
20:57:10, 1017.60, 20.01, 22.25, 14.211, 661, 999, 1367, 1566, 1809, 1839, 2274, 2597, 11611, 6102, 0, 0, 2849, 3877, 4850, 6172, 7420, 8690, 10408, 14958, 36000, 36000, 1, 1
20:57:11, 1018.00, 20.01, 22.25, 14.211, 745, 1136, 1525, 1882, 1747, 1846, 2310, 2632, 10642, 5399, 0, 0, 4817, 6606, 8218, 11196, 14618, 17487, 21142, 28364, 36000, 36000, 1, 1
20:57:11, 1015.80, 19.96, 22.25, 14.172, 599, 894, 1180, 1413, 1508, 1596, 2013, 2456, 8129, 4436, 0, 0, 5311, 6809, 9228, 11419, 14787, 16878, 20029, 27775, 36000, 36000, 1, 1
20:57:12, 1018.20, 20.01, 22.28, 14.063, 629, 946, 1259, 1509, 1502, 1623, 1993, 2437, 8294, 4567, 0, 0, 3967, 5276, 6614, 8517, 9950, 11679, 13980, 19003, 36000, 36000, 1, 1
20:57:12, 1017.60, 20.01, 22.30, 14.063, 529, 794, 1052, 1299, 1395, 1524, 1914, 2372, 7197, 4233, 0, 0, 3990, 5355, 6592, 8408, 9127, 10674, 12708, 17987, 36000, 36000, 1, 1
20:57:13, 1017.80, 20.01, 22.34, 13.984, 542, 816, 1081, 1336, 1441, 1551, 1978, 2405, 7511, 4343, 0, 0, 3887, 5193, 6401, 8125, 9302, 10935, 12990, 18273, 36000, 36000, 1, 1
20:57:14, 1017.40, 20.00, 22.35, 13.914, 567, 858, 1132, 1393, 1687, 1799, 2290, 2627, 9411, 5178, 0, 0, 3550, 4792, 5624, 6964, 7565, 8992, 10633, 16753, 36000, 36000, 1, 1
