Secchi Depth (cm) = /1.1
Forel Ule Scale = os
pH Colour Scale = 19
SensingSecchi S/N = A016
Latitude (degs N) = 34.14011
Longitude (degs E) = -77.86236
Date = 2026-03-18
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
15:27:30, 1023.50, 17.45, 21.02, 12.367, 876, 1271, 1672, 1865, 1932, 1968, 2209, 2462, 9829, 4279, 0, 0, 13051, 19606, 27717, 35681, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:30, 1023.70, 17.44, 21.07, 12.352, 876, 1270, 1672, 1864, 1932, 1968, 2207, 2462, 9821, 4277, 0, 0, 13031, 19578, 27674, 35628, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:31, 1023.70, 17.44, 21.07, 12.352, 876, 1270, 1671, 1863, 1932, 1967, 2207, 2461, 9819, 4276, 0, 0, 13012, 19547, 27628, 35573, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:32, 1023.70, 17.45, 21.07, 12.344, 876, 1270, 1671, 1863, 1932, 1967, 2206, 2461, 9816, 4275, 0, 0, 13022, 19561, 27646, 35601, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:32, 1023.70, 17.46, 21.11, 12.328, 876, 1270, 1672, 1864, 1931, 1967, 2207, 2461, 9818, 4279, 0, 0, 13042, 19597, 27688, 35649, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:33, 1023.60, 17.46, 21.09, 12.328, 876, 1271, 1673, 1864, 1933, 1969, 2208, 2464, 9828, 4286, 0, 0, 13074, 19643, 27758, 35734, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:34, 1023.70, 17.47, 21.11, 12.320, 877, 1272, 1673, 1865, 1934, 1971, 2210, 2467, 9840, 4294, 0, 0, 13121, 19706, 27845, 35861, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:34, 1023.50, 17.48, 21.13, 12.328, 877, 1272, 1675, 1867, 1935, 1973, 2212, 2469, 9848, 4300, 0, 0, 13161, 19767, 27933, 35981, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:35, 1023.50, 17.49, 21.16, 12.328, 878, 1273, 1675, 1867, 1936, 1974, 2213, 2471, 9858, 4306, 0, 0, 13182, 19796, 27961, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:36, 1023.70, 17.51, 21.23, 12.313, 878, 1272, 1676, 1868, 1936, 1973, 2213, 2472, 9861, 4309, 0, 0, 13174, 19780, 27943, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:36, 1023.70, 17.52, 21.21, 12.359, 878, 1273, 1676, 1868, 1937, 1974, 2213, 2471, 9860, 4307, 0, 0, 13157, 19753, 27911, 35946, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:37, 1023.60, 17.53, 21.21, 12.359, 878, 1273, 1675, 1867, 1936, 1973, 2212, 2470, 9855, 4305, 0, 0, 13162, 19764, 27928, 35972, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:38, 1023.60, 17.54, 21.21, 12.391, 878, 1273, 1676, 1869, 1938, 1975, 2214, 2473, 9866, 4313, 0, 0, 13158, 19756, 27912, 35946, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:38, 1023.70, 17.54, 21.19, 12.367, 879, 1273, 1677, 1869, 1939, 1976, 2214, 2472, 9868, 4313, 0, 0, 13179, 19787, 27956, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:39, 1023.70, 17.53, 21.25, 12.367, 879, 1273, 1677, 1870, 1938, 1976, 2214, 2475, 9874, 4318, 0, 0, 13196, 19814, 27987, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:40, 1023.60, 17.52, 21.28, 12.320, 879, 1275, 1678, 1870, 1939, 1978, 2215, 2477, 9885, 4326, 0, 0, 13206, 19828, 28015, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:40, 1023.70, 17.52, 21.28, 12.305, 880, 1274, 1678, 1871, 1940, 1978, 2217, 2477, 9894, 4327, 0, 0, 13208, 19834, 28029, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:41, 1023.50, 17.53, 21.30, 12.305, 880, 1275, 1679, 1872, 1941, 1979, 2218, 2478, 9898, 4327, 0, 0, 13230, 19864, 28067, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:41, 1023.70, 17.54, 21.30, 12.289, 880, 1275, 1679, 1872, 1941, 1979, 2218, 2478, 9895, 4327, 0, 0, 13211, 19833, 28026, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:42, 1023.50, 17.54, 21.30, 12.258, 880, 1275, 1679, 1871, 1940, 1978, 2216, 2477, 9891, 4325, 0, 0, 13207, 19828, 28020, 35999, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:43, 1023.60, 17.54, 21.33, 12.258, 879, 1275, 1678, 1871, 1940, 1978, 2216, 2477, 9890, 4323, 0, 0, 13175, 19785, 27950, 36000, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:43, 1023.40, 17.55, 21.33, 12.242, 879, 1275, 1678, 1870, 1939, 1977, 2215, 2475, 9885, 4319, 0, 0, 13148, 19741, 27895, 35931, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:44, 1023.70, 17.58, 21.37, 12.242, 879, 1274, 1678, 1870, 1939, 1977, 2215, 2474, 9881, 4316, 0, 0, 13124, 19710, 27853, 35870, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:45, 1023.70, 17.59, 21.33, 12.258, 878, 1274, 1677, 1869, 1939, 1977, 2214, 2475, 9878, 4318, 0, 0, 13151, 19743, 27900, 35941, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
15:27:45, 1023.60, 17.61, 21.35, 12.266, 879, 1274, 1678, 1870, 1939, 1978, 2215, 2476, 9887, 4322, 0, 0, 13133, 19718, 27863, 35888, 36000, 36000, 36000, 36000, 36000, 36000, 1, 1
