Secchi Depth (cm) = 0013
Forel Ule Scale = 17
pH Colour Scale = 99
SensingSecchi S/N = A016
Latitude (degs N) = 34.13998
Longitude (degs E) = -77.86246
Date = 2026-04-17
Time (UTC), Pressure (mbar) MS5803, Temp (deg C) MS5803, Temp (deg C) 10KTHERM, Temp (deg C) TMP117, ED 415nm, ED 445nm, ED 480nm, ED 515nm, ED 555nm, ED 590nm, ED 630nm, ED 680nm, ED Clear, ED NIR, ED D-SAT, ED A-SAT, EU 415nm, EU 445nm, EU 480nm, EU 515nm, EU 555nm, EU 590nm, EU 630nm, EU 680nm, EU Clear, EU NIR, EU D-SAT, EU A-SAT
17:24:01, 1010.10, 24.73, 25.34, 22.719, 546, 696, 945, 1253, 1393, 1766, 2284, 2955, 8422, 4861, 0, 0, 4190, 5793, 6833, 8328, 9239, 10586, 13148, 20380, 36000, 36000, 1, 1
17:24:01, 1009.80, 24.70, 25.34, 22.719, 1054, 1241, 1796, 2024, 2618, 3038, 2850, 3402, 24788, 9673, 0, 0, 5929, 7805, 8780, 10391, 11077, 13057, 16079, 28984, 36000, 36000, 1, 1
17:24:02, 1009.70, 24.73, 25.36, 22.750, 1709, 1771, 2785, 2786, 2733, 3022, 2996, 3471, 21416, 8552, 0, 0, 6320, 8055, 8791, 9967, 9662, 12156, 14829, 28242, 36000, 36000, 1, 1
17:24:03, 1009.90, 24.71, 25.33, 22.781, 4262, 3409, 6412, 5687, 12457, 16015, 11582, 17812, 36000, 36000, 1, 1, 6548, 9100, 10991, 13623, 17250, 22760, 29679, 36000, 36000, 36000, 1, 1
17:24:03, 1009.80, 24.74, 25.29, 22.781, 10321, 18611, 25147, 35710, 27073, 27106, 27926, 27778, 32383, 28825, 0, 1, 7739, 12177, 16238, 20284, 21624, 24440, 30178, 36000, 36000, 36000, 1, 1
17:24:04, 1010.00, 24.77, 25.31, 22.789, 3812, 5915, 8232, 9486, 5194, 4405, 5475, 6569, 7268, 3914, 0, 0, 4278, 7127, 9599, 12776, 9602, 10479, 11969, 13513, 35901, 12570, 0, 1
17:24:05, 1009.90, 24.76, 25.31, 22.789, 7898, 13636, 17882, 21806, 33339, 35440, 35263, 36000, 27403, 19919, 1, 1, 4474, 7336, 9639, 12925, 33870, 34952, 35719, 35982, 36000, 35666, 1, 1
17:24:05, 1013.00, 24.77, 25.31, 22.789, 6588, 11911, 15114, 19131, 30794, 32241, 34310, 35312, 26922, 17471, 0, 1, 1033, 1669, 2978, 4569, 7470, 8307, 9775, 10486, 23712, 2949, 0, 0
17:24:06, 1014.30, 24.76, 25.34, 22.977, 14507, 21611, 32862, 34691, 26116, 28024, 33564, 36000, 25367, 7418, 1, 1, 1191, 1900, 3414, 5240, 6819, 7539, 8895, 9559, 23124, 2946, 0, 0
17:24:07, 1016.90, 24.76, 25.34, 23.383, 10681, 16203, 22364, 24058, 27965, 28367, 29741, 29972, 35693, 30092, 0, 1, 1005, 1594, 2876, 4447, 6047, 6716, 7937, 8535, 20568, 2564, 0, 0
17:24:07, 1019.70, 24.76, 25.33, 23.383, 7309, 11701, 18275, 19865, 30919, 34553, 35642, 36000, 36000, 35065, 1, 1, 924, 1450, 2652, 4156, 6286, 6991, 8289, 8916, 21945, 2682, 0, 0
17:24:08, 1018.10, 24.76, 25.31, 23.578, 7619, 14266, 22886, 24984, 34401, 32770, 35675, 35964, 36000, 35677, 1, 1, 1029, 1621, 2943, 4553, 6497, 7202, 8528, 9151, 22939, 2835, 0, 0
17:24:09, 1022.10, 24.76, 25.31, 23.687, 6932, 13363, 19600, 25216, 27643, 28999, 33888, 34928, 36000, 29094, 1, 1, 864, 1345, 2485, 3934, 5875, 6563, 7787, 8373, 20437, 2406, 0, 0
17:24:09, 1020.90, 24.76, 25.34, 23.687, 6760, 13507, 21674, 24280, 27688, 27481, 35823, 36000, 36000, 28967, 1, 1, 882, 1377, 2546, 4020, 6132, 6825, 8080, 8683, 21455, 2537, 0, 0
17:24:10, 1021.20, 24.76, 25.34, 23.719, 5715, 11583, 15238, 20297, 28489, 28590, 35061, 36000, 36000, 34894, 1, 1, 919, 1440, 2664, 4191, 5966, 6632, 7876, 8432, 20923, 2442, 0, 0
17:24:11, 1020.50, 24.76, 25.33, 23.742, 5754, 11889, 15296, 24419, 21520, 23207, 26384, 33433, 36000, 35987, 1, 1, 923, 1450, 2683, 4223, 5797, 6442, 7649, 8180, 20105, 2336, 0, 0
17:24:11, 1021.80, 24.76, 25.33, 23.742, 5477, 12651, 14928, 26683, 16372, 18225, 20907, 28448, 36000, 35079, 1, 1, 972, 1524, 2805, 4397, 5719, 6361, 7570, 8092, 19874, 2302, 0, 0
17:24:12, 1021.10, 24.77, 25.33, 23.750, 5901, 12876, 16361, 24367, 19158, 20920, 21115, 32409, 36000, 35691, 1, 1, 984, 1547, 2843, 4447, 6120, 6801, 8096, 8643, 21395, 2479, 0, 0
17:24:13, 1021.30, 24.77, 25.34, 23.750, 6348, 12412, 16370, 24959, 21436, 25070, 22684, 34503, 36000, 36000, 1, 1, 1014, 1595, 2940, 4586, 6451, 7162, 8507, 9093, 22556, 2630, 0, 0
17:24:13, 1023.10, 24.77, 25.29, 23.766, 5995, 13250, 15811, 26605, 23629, 25462, 28318, 34413, 36000, 32029, 1, 1, 944, 1477, 2733, 4302, 6010, 6703, 7980, 8526, 20824, 2403, 0, 0
17:24:14, 1022.30, 24.77, 25.31, 23.758, 6425, 10415, 16981, 23354, 25045, 31479, 30292, 36000, 36000, 33837, 1, 1, 899, 1405, 2602, 4111, 6411, 7132, 8483, 9073, 22387, 2652, 0, 0
17:24:15, 1023.50, 24.76, 25.34, 23.758, 4869, 9995, 12389, 19731, 20697, 25007, 26020, 34943, 36000, 34297, 1, 1, 817, 1266, 2363, 3775, 5999, 6707, 7989, 8545, 20759, 2398, 0, 0
17:24:15, 1022.70, 24.76, 25.33, 23.766, 4302, 7593, 10511, 15234, 22617, 27663, 27977, 33550, 36000, 30620, 1, 1, 818, 1263, 2363, 3793, 6245, 6978, 8318, 8909, 21712, 2529, 0, 0
17:24:16, 1022.30, 24.76, 25.34, 23.766, 5426, 11309, 15483, 21484, 23963, 27693, 34838, 36000, 36000, 33110, 1, 1, 872, 1355, 2514, 3990, 6139, 6848, 8152, 8724, 21423, 2517, 0, 0
17:24:17, 1021.50, 24.76, 25.31, 23.766, 4855, 10774, 13550, 20821, 26734, 28956, 34282, 36000, 36000, 32233, 1, 1, 824, 1276, 2376, 3786, 6083, 6787, 8075, 8651, 21333, 2504, 0, 0
17:24:17, 1020.20, 24.77, 25.34, 23.758, 5812, 11972, 14723, 24490, 31666, 34013, 35843, 36000, 36000, 32198, 1, 1, 868, 1354, 2507, 3963, 5969, 6646, 7899, 8467, 20599, 2448, 0, 0
17:24:18, 1021.40, 24.77, 25.33, 23.758, 5858, 10987, 14056, 18873, 25304, 27216, 35840, 35784, 36000, 31669, 1, 1, 849, 1320, 2449, 3896, 5705, 6373, 7580, 8121, 19545, 2292, 0, 0
17:24:19, 1022.20, 24.77, 25.29, 23.758, 5338, 9738, 13059, 16774, 24604, 24516, 30208, 35738, 36000, 35571, 1, 1, 870, 1348, 2502, 3983, 5927, 6622, 7881, 8462, 20568, 2430, 0, 0
